Name;iupac;iupac-common name;omega;delta;InChI;SMILES;[kJ /mol ];[C ];
SSS (one);propane-1,2,3-triyl octadecanate;propane-1,2,3-triyl stearate;1(18:0)-2(18:0)-3(18:0);1(18:0)-2(18:0)-3(18:0);InChI=1S/C57H110O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h54H,4-53H2,1-3H3;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC;;73.1;1
SSS ;propane-1,2,3-triyl octadecanate;propane-1,2,3-triyl stearate;1(18:0)-2(18:0)-3(18:0);1(18:0)-2(18:0)-3(18:0);InChI=1S/C57H110O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h54H,4-53H2,1-3H3;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC;194.2;72.5;1
SSS (i );propane-1,2,3-triyl octadecanate;propane-1,2,3-triyl stearate;1(18:0)-2(18:0)-3(18:0);1(18:0)-2(18:0)-3(18:0);InChI=1S/C57H110O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h54H,4-53H2,1-3H3;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC;;73;1
SSB ;3-(docosanoicoyloxy)propane-1,2-diyl dioctadecanate;3-(behenoyloxy)propane-1,2-diyl distearate;1(18:0)-2(18:0)-3(22:0);1(18:0)-2(18:0)-3(22:0);InChI=1S/C61H118O6/c1-4-7-10-13-16-19-22-25-28-29-30-31-34-36-39-42-45-48-51-54-60(63)66-57-58(67-61(64)55-52-49-46-43-40-37-33-27-24-21-18-15-12-9-6-3)56-65-59(62)53-50-47-44-41-38-35-32-26-23-20-17-14-11-8-5-2/h58H,4-57H2,1-3H3;O=C(CCCCCCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC;;70.7;1
SBS ;2-(docosanoicoyloxy)propane-1,3-diyl dioctadecanate;2-(behenoyloxy)propane-1,3-diyl distearate;1(18:0)-2(22:0)-3(18:0);1(18:0)-2(22:0)-3(18:0);InChI=1S/C61H118O6/c1-4-7-10-13-16-19-22-25-28-29-30-31-34-37-40-43-46-49-52-55-61(64)67-58(56-65-59(62)53-50-47-44-41-38-35-32-26-23-20-17-14-11-8-5-2)57-66-60(63)54-51-48-45-42-39-36-33-27-24-21-18-15-12-9-6-3/h58H,4-57H2,1-3H3;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC;;69.9;1
SBB ;3-(octadecanoyloxy)propane-1,2-diyl didocosanoicate;3-(stearoyloxy)propane-1,2-diyl dibehenate;1(18:0)-2(22:0)-3(22:0);1(18:0)-2(22:0)-3(22:0);InChI=1S/C65H126O6/c1-4-7-10-13-16-19-22-25-28-30-32-34-37-40-43-46-49-52-55-58-64(67)70-61-62(60-69-63(66)57-54-51-48-45-42-39-36-27-24-21-18-15-12-9-6-3)71-65(68)59-56-53-50-47-44-41-38-35-33-31-29-26-23-20-17-14-11-8-5-2/h62H,4-61H2,1-3H3;O=C(CCCCCCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC;;73.5;1
S6S ;2-(hexanoyloxy)propane-1,3-diyl dioctadecanate;2-(caproyloxy)propane-1,3-diyl distearate;1(18:0)-2(6:0)-3(18:0);1(18:0)-2(6:0)-3(18:0);InChI=1S/C45H86O6/c1-4-7-10-12-14-16-18-20-22-24-26-28-30-32-35-37-43(46)49-40-42(51-45(48)39-34-9-6-3)41-50-44(47)38-36-33-31-29-27-25-23-21-19-17-15-13-11-8-5-2/h42H,4-41H2,1-3H3;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCC;;53.1;1
S8S ;2-(octanoyloxy)propane-1,3-diyl dioctadecanate;2-(capryloyloxy)propane-1,3-diyl distearate;1(18:0)-2(8:0)-3(18:0);1(18:0)-2(8:0)-3(18:0);InChI=1S/C47H90O6/c1-4-7-10-13-15-17-19-21-23-25-27-29-31-34-36-39-45(48)51-42-44(53-47(50)41-38-33-12-9-6-3)43-52-46(49)40-37-35-32-30-28-26-24-22-20-18-16-14-11-8-5-2/h44H,4-43H2,1-3H3;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC;141;54;1
19.19.19(a );propane-1,2,3-triyl nonadecanate;propane-1,2,3-triyl nonadecylate;1(19:0)-2(19:0)-3(19:0);1(19:0)-2(19:0)-3(19:0);InChI=1S/C60H116O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-52-58(61)64-55-57(66-60(63)54-51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)56-65-59(62)53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h57H,4-56H2,1-3H3;O=C(CCCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCC;186.7;72;1
19.19.19;propane-1,2,3-triyl nonadecanate;propane-1,2,3-triyl nonadecylate;1(19:0)-2(19:0)-3(19:0);1(19:0)-2(19:0)-3(19:0);InChI=1S/C60H116O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-52-58(61)64-55-57(66-60(63)54-51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)56-65-59(62)53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h57H,4-56H2,1-3H3;O=C(CCCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCC;;70.6;1
