Name;iupac;iupac-common name;omega;delta;InChI;SMILES;[kJ /mol ];[C ];
AOO (a );3-(icosanoyloxy)propane-1,2-diyl di(Z)-Octadec-9-enate;3-(arachidoyloxy)propane-1,2-diyl dioleate;1(20:0)-2(18:1,w-9)-3(18:1,w-9);1(20:0)-2(18:1 D9)-3(18:1 D9);InChI=1S/C59H110O6/c1-4-7-10-13-16-19-22-25-28-29-32-34-37-40-43-46-49-52-58(61)64-55-56(65-59(62)53-50-47-44-41-38-35-31-27-24-21-18-15-12-9-6-3)54-63-57(60)51-48-45-42-39-36-33-30-26-23-20-17-14-11-8-5-2/h26-27,30-31,56H,4-25,28-29,32-55H2,1-3H3/b30-26-,31-27-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;110.1;29.2;0
BOO (a );3-(docosanoicoyloxy)propane-1,2-diyl di(Z)-Octadec-9-enate;3-(behenoyloxy)propane-1,2-diyl dioleate;1(22:0)-2(18:1,w-9)-3(18:1,w-9);1(22:0)-2(18:1 D9)-3(18:1 D9);InChI=1S/C61H114O6/c1-4-7-10-13-16-19-22-25-28-29-30-31-34-36-39-42-45-48-51-54-60(63)66-57-58(67-61(64)55-52-49-46-43-40-37-33-27-24-21-18-15-12-9-6-3)56-65-59(62)53-50-47-44-41-38-35-32-26-23-20-17-14-11-8-5-2/h26-27,32-33,58H,4-25,28-31,34-57H2,1-3H3/b32-26-,33-27-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;117.6;33.3;0
CCl ;3-((9Z,12Z)-Octadeca-9,12-dienoyloxy)propane-1,2-diyl didecanate;3-(linoleoyloxy)propane-1,2-diyl dicapriate;1(10:0)-2(10:0)-3(18:2,w-6);1(10:0)-2(10:0)-3(18:2 D9,12);InChI=1S/C41H74O6/c1-4-7-10-13-16-17-18-19-20-21-22-23-26-28-31-34-40(43)46-37-38(47-41(44)35-32-29-25-15-12-9-6-3)36-45-39(42)33-30-27-24-14-11-8-5-2/h16-17,19-20,38H,4-15,18,21-37H2,1-3H3/b17-16-,20-19-;O=C(CCCCCCC/C=C\C/C=C\CCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCC;;-0.5;0
CEE ;3-(decanoyloxy)propane-1,2-diyl di(E)-octadec-9-enate;3-(caprioyloxy)propane-1,2-diyl dielaidate;1(10:0)-2(18:1,w-t9)-3(18:1,w-t9);1(10:0)-2(18:1 Dt9)-3(18:1 Dt9);InChI=1S/C49H90O6/c1-4-7-10-13-16-18-20-22-24-26-28-30-33-36-39-42-48(51)54-45-46(44-53-47(50)41-38-35-32-15-12-9-6-3)55-49(52)43-40-37-34-31-29-27-25-23-21-19-17-14-11-8-5-2/h22-25,46H,4-21,26-45H2,1-3H3/b24-22+,25-23+;O=C(CCCCCCC/C=C/CCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCC/C=C/CCCCCCCC;;25;0
CMO ;1-(decanoyloxy)-2-(tetradecanoyloxy)propan-3-yl (Z)-Octadec-9-enate;1-(caprioyloxy)-2-(myristoyloxy)propan-3-yl oleate;1(10:0)-2(14:0)-3(18:1,w-9);1(10:0)-2(14:0)-3(18:1 D9);InChI=1S/C45H84O6/c1-4-7-10-13-16-18-20-21-22-23-25-26-29-32-35-38-44(47)50-41-42(40-49-43(46)37-34-31-28-15-12-9-6-3)51-45(48)39-36-33-30-27-24-19-17-14-11-8-5-2/h21-22,42H,4-20,23-41H2,1-3H3/b22-21-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCCCC;;13.9;0
COC ;2-((Z)-Octadec-9-enoyloxy)propane-1,3-diyl didecanate;2-(oleoyloxy)propane-1,3-diyl dicapriate;1(10:0)-2(18:1,w-9)-3(10:0);1(10:0)-2(18:1 D9)-3(10:0);InChI=1S/C41H76O6/c1-4-7-10-13-16-17-18-19-20-21-22-23-26-29-32-35-41(44)47-38(36-45-39(42)33-30-27-24-14-11-8-5-2)37-46-40(43)34-31-28-25-15-12-9-6-3/h19-20,38H,4-18,21-37H2,1-3H3/b20-19-;O=C(CCCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;;-4.8;0
COC ;2-((Z)-Octadec-9-enoyloxy)propane-1,3-diyl didecanate;2-(oleoyloxy)propane-1,3-diyl dicapriate;1(10:0)-2(18:1,w-9)-3(10:0);1(10:0)-2(18:1 D9)-3(10:0);InChI=1S/C41H76O6/c1-4-7-10-13-16-17-18-19-20-21-22-23-26-29-32-35-41(44)47-38(36-45-39(42)33-30-27-24-14-11-8-5-2)37-46-40(43)34-31-28-25-15-12-9-6-3/h19-20,38H,4-18,21-37H2,1-3H3/b20-19-;O=C(CCCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;;5.9;0
COO ;3-(decanoyloxy)propane-1,2-diyl di(Z)-Octadec-9-enate;3-(caprioyloxy)propane-1,2-diyl dioleate;1(10:0)-2(18:1,w-9)-3(18:1,w-9);1(10:0)-2(18:1 D9)-3(18:1 D9);InChI=1S/C49H90O6/c1-4-7-10-13-16-18-20-22-24-26-28-30-33-36-39-42-48(51)54-45-46(44-53-47(50)41-38-35-32-15-12-9-6-3)55-49(52)43-40-37-34-31-29-27-25-23-21-19-17-14-11-8-5-2/h22-25,46H,4-21,26-45H2,1-3H3/b24-22-,25-23-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;;-0.3;0
EEE ;propane-1,2,3-triyl (E)-octadec-9-enate;propane-1,2,3-triyl elaidate;1(18:1,w-t9)-2(18:1,w-t9)-3(18:1,w-t9);1(18:1 Dt9)-2(18:1 Dt9)-3(18:1 Dt9);InChI=1S/C57H104O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h25-30,54H,4-24,31-53H2,1-3H3/b28-25+,29-26+,30-27+;O=C(CCCCCCC/C=C/CCCCCCCC)OCC(COC(=O)CCCCCCC/C=C/CCCCCCCC)OC(=O)CCCCCCC/C=C/CCCCCCCC;148;42.2;0
EES ;3-(octadecanoyloxy)propane-1,2-diyl di(E)-octadec-9-enate;3-(stearoyloxy)propane-1,2-diyl dielaidate;1(18:1,w-t9)-2(18:1,w-t9)-3(18:0);1(18:1 Dt9)-2(18:1 Dt9)-3(18:0);InChI=1S/C57H106O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h25,27-28,30,54H,4-24,26,29,31-53H2,1-3H3/b28-25+,30-27+;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCC/C=C/CCCCCCCC)OC(=O)CCCCCCC/C=C/CCCCCCCC;;49.7;1
EPE ;2-(hexadecanoyloxy)propane-1,3-diyl di(E)-octadec-9-enate;2-(palmitoyloxy)propane-1,3-diyl dielaidate;1(18:1,w-t9)-2(16:0)-3(18:1,w-t9);1(18:1 Dt9)-2(16:0)-3(18:1 Dt9);InChI=1S/C55H102O6/c1-4-7-10-13-16-19-22-25-27-30-32-35-38-41-44-47-53(56)59-50-52(61-55(58)49-46-43-40-37-34-29-24-21-18-15-12-9-6-3)51-60-54(57)48-45-42-39-36-33-31-28-26-23-20-17-14-11-8-5-2/h25-28,52H,4-24,29-51H2,1-3H3/b27-25+,28-26+;O=C(CCCCCCC/C=C/CCCCCCCC)OCC(COC(=O)CCCCCCC/C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCC;130;44.5;0
EPE ;2-(hexadecanoyloxy)propane-1,3-diyl di(E)-octadec-9-enate;2-(palmitoyloxy)propane-1,3-diyl dielaidate;1(18:1,w-t9)-2(16:0)-3(18:1,w-t9);1(18:1 Dt9)-2(16:0)-3(18:1 Dt9);InChI=1S/C55H102O6/c1-4-7-10-13-16-19-22-25-27-30-32-35-38-41-44-47-53(56)59-50-52(61-55(58)49-46-43-40-37-34-29-24-21-18-15-12-9-6-3)51-60-54(57)48-45-42-39-36-33-31-28-26-23-20-17-14-11-8-5-2/h25-28,52H,4-24,29-51H2,1-3H3/b27-25+,28-26+;O=C(CCCCCCC/C=C/CCCCCCCC)OCC(COC(=O)CCCCCCC/C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCC;130;44.5;0
ESE ;2-(octadecanoyloxy)propane-1,3-diyl di(E)-octadec-9-enate;2-(stearoyloxy)propane-1,3-diyl dielaidate;1(18:1,w-t9)-2(18:0)-3(18:1,w-t9);1(18:1 Dt9)-2(18:0)-3(18:1 Dt9);InChI=1S/C57H106O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h25-26,28-29,54H,4-24,27,30-53H2,1-3H3/b28-25+,29-26+;O=C(CCCCCCC/C=C/CCCCCCCC)OCC(COC(=O)CCCCCCC/C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC;155;49.7;1
ESS ;3-((E)-octadec-9-enoyloxy)propane-1,2-diyl dioctadecanate;3-(elaidoyloxy)propane-1,2-diyl distearate;1(18:1,w-t9)-2(18:0)-3(18:0);1(18:1 Dt9)-2(18:0)-3(18:0);InChI=1S/C57H108O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h25,28,54H,4-24,26-27,29-53H2,1-3H3/b28-25+;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCC/C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC;;61.1;1
ESS (e );3-((E)-octadec-9-enoyloxy)propane-1,2-diyl dioctadecanate;3-(elaidoyloxy)propane-1,2-diyl distearate;1(18:1,w-t9)-2(18:0)-3(18:0);1(18:1 Dt9)-2(18:0)-3(18:0);InChI=1S/C57H108O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h25,28,54H,4-24,26-27,29-53H2,1-3H3/b28-25+;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCC/C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC;;60;1
LEE ;3-(dodecanoyloxy)propane-1,2-diyl di(E)-octadec-9-enate;3-(lauroyloxy)propane-1,2-diyl dielaidate;1(12:0)-2(18:1,w-t9)-3(18:1,w-t9);1(12:0)-2(18:1 Dt9)-3(18:1 Dt9);InChI=1S/C51H94O6/c1-4-7-10-13-16-19-21-23-25-27-29-32-35-38-41-44-50(53)56-47-48(46-55-49(52)43-40-37-34-31-18-15-12-9-6-3)57-51(54)45-42-39-36-33-30-28-26-24-22-20-17-14-11-8-5-2/h23-26,48H,4-22,27-47H2,1-3H3/b25-23+,26-24+;O=C(CCCCCCC/C=C/CCCCCCCC)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCC/C=C/CCCCCCCC;;35.5;0
lelele ;propane-1,2,3-triyl (9Z,12Z,15Z)-Octadeca-9,12,15-trienate;propane-1,2,3-triyl linolenate;1(18:3,w-3)-2(18:3,w-3)-3(18:3,w-3);1(18:3 D9,12,15)-2(18:3 D9,12,15)-3(18:3 D9,12,15);InChI=1S/C57H92O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h7-12,16-21,25-30,54H,4-6,13-15,22-24,31-53H2,1-3H3/b10-7-,11-8-,12-9-,19-16-,20-17-,21-18-,28-25-,29-26-,30-27-;O=C(CCCCCCC/C=C\C/C=C\C/C=C\CC)OCC(COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC;;-24.2;0
leleS ;3-(octadecanoyloxy)propane-1,2-diyl di(9Z,12Z,15Z)-Octadeca-9,12,15-trienate;3-(stearoyloxy)propane-1,2-diyl dilinolenate;1(18:3,w-3)-2(18:3,w-3)-3(18:0);1(18:3 D9,12,15)-2(18:3 D9,12,15)-3(18:0);InChI=1S/C57H98O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h7,9-10,12,16,18-19,21,25,27-28,30,54H,4-6,8,11,13-15,17,20,22-24,26,29,31-53H2,1-3H3/b10-7-,12-9-,19-16-,21-18-,28-25-,30-27-;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC;;-0.5;0
leOO;3-((9Z,12Z,15Z)-Octadeca-9,12,15-trienoyloxy)propane-1,2-diyl di(Z)-Octadec-9-enate;3-(linolenoyloxy)propane-1,2-diyl dioleate;1(18:3,w-3)-2(18:1,w-9)-3(18:1,w-9);1(18:3 D9,12,15)-2(18:1 D9)-3(18:1 D9);InChI=1S/C57H100O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h7,10,16,19,25-30,54H,4-6,8-9,11-15,17-18,20-24,31-53H2,1-3H3/b10-7-,19-16-,28-25-,29-26-,30-27-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCC/C=C\CCCCCCCC;;-13.1;0
LLE ;3-((E)-octadec-9-enoyloxy)propane-1,2-diyl didodecanate;3-(elaidoyloxy)propane-1,2-diyl dilaurate;1(12:0)-2(12:0)-3(18:1,w-t9);1(12:0)-2(12:0)-3(18:1 Dt9);InChI=1S/C45H84O6/c1-4-7-10-13-16-19-20-21-22-23-24-27-29-32-35-38-44(47)50-41-42(51-45(48)39-36-33-30-26-18-15-12-9-6-3)40-49-43(46)37-34-31-28-25-17-14-11-8-5-2/h21-22,42H,4-20,23-41H2,1-3H3/b22-21+;O=C(CCCCCCC/C=C/CCCCCCCC)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;;27;0
lll;propane-1,2,3-triyl (9Z,12Z)-Octadeca-9,12-dienate;propane-1,2,3-triyl linoleate;1(18:2,w-6)-2(18:2,w-6)-3(18:2,w-6);1(18:2 D9,12)-2(18:2 D9,12)-3(18:2 D9,12);InChI=1S/C57H98O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h16-21,25-30,54H,4-15,22-24,31-53H2,1-3H3/b19-16-,20-17-,21-18-,28-25-,29-26-,30-27-;O=C(CCCCCCC/C=C\C/C=C\CCCCC)OCC(COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC;84;-12.3;0
LOL ;2-((Z)-Octadec-9-enoyloxy)propane-1,3-diyl didodecanate;2-(oleoyloxy)propane-1,3-diyl dilaurate;1(12:0)-2(18:1,w-9)-3(12:0);1(12:0)-2(18:1 D9)-3(12:0);InChI=1S/C45H84O6/c1-4-7-10-13-16-19-20-21-22-23-24-27-30-33-36-39-45(48)51-42(40-49-43(46)37-34-31-28-25-17-14-11-8-5-2)41-50-44(47)38-35-32-29-26-18-15-12-9-6-3/h21-22,42H,4-20,23-41H2,1-3H3/b22-21-;O=C(CCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;;16.5;0
LOL (a );2-((Z)-Octadec-9-enoyloxy)propane-1,3-diyl didodecanate;2-(oleoyloxy)propane-1,3-diyl dilaurate;1(12:0)-2(18:1,w-9)-3(12:0);1(12:0)-2(18:1 D9)-3(12:0);InChI=1S/C45H84O6/c1-4-7-10-13-16-19-20-21-22-23-24-27-30-33-36-39-45(48)51-42(40-49-43(46)37-34-31-28-25-17-14-11-8-5-2)41-50-44(47)38-35-32-29-26-18-15-12-9-6-3/h21-22,42H,4-20,23-41H2,1-3H3/b22-21-;O=C(CCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;;16.5;0
LOO ;3-(dodecanoyloxy)propane-1,2-diyl di(Z)-Octadec-9-enate;3-(lauroyloxy)propane-1,2-diyl dioleate;1(12:0)-2(18:1,w-9)-3(18:1,w-9);1(12:0)-2(18:1 D9)-3(18:1 D9);InChI=1S/C51H94O6/c1-4-7-10-13-16-19-21-23-25-27-29-32-35-38-41-44-50(53)56-47-48(46-55-49(52)43-40-37-34-31-18-15-12-9-6-3)57-51(54)45-42-39-36-33-30-28-26-24-22-20-17-14-11-8-5-2/h23-26,48H,4-22,27-47H2,1-3H3/b25-23-,26-24-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;;5.1;0
LPO ;1-(dodecanoyloxy)-2-(hexadecanoyloxy)propan-3-yl (Z)-Octadec-9-enate;1-(lauroyloxy)-2-(palmitoyloxy)propan-3-yl oleate;1(12:0)-2(16:0)-3(18:1,w-9);1(12:0)-2(16:0)-3(18:1 D9);InChI=1S/C49H92O6/c1-4-7-10-13-16-19-21-23-24-26-27-30-33-36-39-42-48(51)54-45-46(44-53-47(50)41-38-35-32-29-18-15-12-9-6-3)55-49(52)43-40-37-34-31-28-25-22-20-17-14-11-8-5-2/h23-24,46H,4-22,25-45H2,1-3H3/b24-23-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC;;29.5;0
lSS ;3-((9Z,12Z)-Octadeca-9,12-dienoyloxy)propane-1,2-diyl dioctadecanate;3-(linoleoyloxy)propane-1,2-diyl distearate;1(18:2,w-6)-2(18:0)-3(18:0);1(18:2 D9,12)-2(18:0)-3(18:0);InChI=1S/C57H106O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h16,19,25,28,54H,4-15,17-18,20-24,26-27,29-53H2,1-3H3/b19-16-,28-25-;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCCCC;;35.8;0
MEE ;3-(tetradecanoyloxy)propane-1,2-diyl di(E)-octadec-9-enate;3-(myristoyloxy)propane-1,2-diyl dielaidate;1(14:0)-2(18:1,w-t9)-3(18:1,w-t9);1(14:0)-2(18:1 Dt9)-3(18:1 Dt9);InChI=1S/C53H98O6/c1-4-7-10-13-16-19-22-24-26-28-31-34-37-40-43-46-52(55)58-49-50(48-57-51(54)45-42-39-36-33-30-21-18-15-12-9-6-3)59-53(56)47-44-41-38-35-32-29-27-25-23-20-17-14-11-8-5-2/h24-27,50H,4-23,28-49H2,1-3H3/b26-24+,27-25+;O=C(CCCCCCC/C=C/CCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C/CCCCCCCC;;40;0
MME ;3-((E)-octadec-9-enoyloxy)propane-1,2-diyl ditetradecanate;3-(elaidoyloxy)propane-1,2-diyl dimyristate;1(14:0)-2(14:0)-3(18:1,w-t9);1(14:0)-2(14:0)-3(18:1 Dt9);InChI=1S/C49H92O6/c1-4-7-10-13-16-19-22-23-24-25-28-30-33-36-39-42-48(51)54-45-46(55-49(52)43-40-37-34-31-27-21-18-15-12-9-6-3)44-53-47(50)41-38-35-32-29-26-20-17-14-11-8-5-2/h23-24,46H,4-22,25-45H2,1-3H3/b24-23+;O=C(CCCCCCC/C=C/CCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;;39.5;0
MMO ;3-((Z)-Octadec-9-enoyloxy)propane-1,2-diyl ditetradecanate;3-(oleoyloxy)propane-1,2-diyl dimyristate;1(14:0)-2(14:0)-3(18:1,w-9);1(14:0)-2(14:0)-3(18:1 D9);InChI=1S/C49H92O6/c1-4-7-10-13-16-19-22-23-24-25-28-30-33-36-39-42-48(51)54-45-46(55-49(52)43-40-37-34-31-27-21-18-15-12-9-6-3)44-53-47(50)41-38-35-32-29-26-20-17-14-11-8-5-2/h23-24,46H,4-22,25-45H2,1-3H3/b24-23-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;;23.9;0
MOM ;2-((Z)-Octadec-9-enoyloxy)propane-1,3-diyl ditetradecanate;2-(oleoyloxy)propane-1,3-diyl dimyristate;1(14:0)-2(18:1,w-9)-3(14:0);1(14:0)-2(18:1 D9)-3(14:0);InChI=1S/C49H92O6/c1-4-7-10-13-16-19-22-23-24-25-28-31-34-37-40-43-49(52)55-46(44-53-47(50)41-38-35-32-29-26-20-17-14-11-8-5-2)45-54-48(51)42-39-36-33-30-27-21-18-15-12-9-6-3/h23-24,46H,4-22,25-45H2,1-3H3/b24-23-;O=C(CCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;;28;0
MOO ;3-(tetradecanoyloxy)propane-1,2-diyl di(Z)-Octadec-9-enate;3-(myristoyloxy)propane-1,2-diyl dioleate;1(14:0)-2(18:1,w-9)-3(18:1,w-9);1(14:0)-2(18:1 D9)-3(18:1 D9);InChI=1S/C53H98O6/c1-4-7-10-13-16-19-22-24-26-28-31-34-37-40-43-46-52(55)58-49-50(48-57-51(54)45-42-39-36-33-30-21-18-15-12-9-6-3)59-53(56)47-44-41-38-35-32-29-27-25-23-20-17-14-11-8-5-2/h24-27,50H,4-23,28-49H2,1-3H3/b26-24-,27-25-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;74.9(0);12.8;0
MOP ;1-(tetradecanoyloxy)-2-((Z)-Octadec-9-enoyloxy)propan-3-yl hexadecanate;1-(myristoyloxy)-2-(oleoyloxy)propan-3-yl palmitate;1(14:0)-2(18:1,w-9)-3(16:0);1(14:0)-2(18:1 D9)-3(16:0);InChI=1S/C51H96O6/c1-4-7-10-13-16-19-22-24-25-27-30-33-36-39-42-45-51(54)57-48(46-55-49(52)43-40-37-34-31-28-21-18-15-12-9-6-3)47-56-50(53)44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h24-25,48H,4-23,26-47H2,1-3H3/b25-24-;O=C(CCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;;27;0
MOS ;1-(tetradecanoyloxy)-2-((Z)-Octadec-9-enoyloxy)propan-3-yl octadecanate;1-(myristoyloxy)-2-(oleoyloxy)propan-3-yl stearate;1(14:0)-2(18:1,w-9)-3(18:0);1(14:0)-2(18:1 D9)-3(18:0);InChI=1S/C53H100O6/c1-4-7-10-13-16-19-22-24-26-28-31-34-37-40-43-46-52(55)58-49-50(48-57-51(54)45-42-39-36-33-30-21-18-15-12-9-6-3)59-53(56)47-44-41-38-35-32-29-27-25-23-20-17-14-11-8-5-2/h25,27,50H,4-24,26,28-49H2,1-3H3/b27-25-;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;;27;0
OlO;2-((9Z,12Z)-Octadeca-9,12-dienoyloxy)propane-1,3-diyl di(Z)-Octadec-9-enate;2-(linoleoyloxy)propane-1,3-diyl dioleate;1(18:1,w-9)-2(18:2,w-6)-3(18:1,w-9);1(18:1 D9)-2(18:2 D9,12)-3(18:1 D9);InChI=1S/C57H102O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h18,21,25-30,54H,4-17,19-20,22-24,31-53H2,1-3H3/b21-18-,28-25-,29-26-,30-27-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC;;-9.5;0
OOO;propane-1,2,3-triyl (Z)-Octadec-9-enate;propane-1,2,3-triyl oleate;1(18:1,w-9)-2(18:1,w-9)-3(18:1,w-9);1(18:1 D9)-2(18:1 D9)-3(18:1 D9);InChI=1S/C57H104O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h25-30,54H,4-24,31-53H2,1-3H3/b28-25-,29-26-,30-27-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;100;4.8;0
OOO(f);propane-1,2,3-triyl (Z)-Octadec-9-enate;propane-1,2,3-triyl oleate;1(18:1,w-9)-2(18:1,w-9)-3(18:1,w-9);1(18:1 D9)-2(18:1 D9)-3(18:1 D9);InChI=1S/C57H104O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h25-30,54H,4-24,31-53H2,1-3H3/b28-25-,29-26-,30-27-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;;2.9;0
