,MOF,LCD (Å),LCD/PLD,PLD (Å),density (g/cm3),Pore Volume (cm3/g),Porosity,Surface Area (m2/g),%C,%H,%O,%N,%Halojen,%Metalloids,%Ametal,%Metal,TDU,DU,MP,O-to-M,U_He (mol/kg),D_He (cm2/s),Uptake_bool,Diffusion_bool,A,AB,ABC,ABCD,B
591,WEHJOK_clean,11.74533,2.07941200943986,5.64839,0.778372,0.945563,0.735999763436,2971.06,44.578313253012,24.0963855421687,25.3012048192771,0.0,0.0,0.0,0.0,6.02409638554217,217.0,0.733108108108108,13.5135135135135,8.4,0.0408574282,0.0022367162163377,1,1,"[11.74533, 5.64839, 2.07941200943986]","[11.74533, 5.64839, 2.07941200943986, 0.778372, 0.945563, 0.735999763436, 2971.06]","[11.74533, 5.64839, 2.07941200943986, 0.778372, 0.945563, 0.735999763436, 2971.06, 44.578313253012, 24.0963855421687, 25.3012048192771, 0.0, 0.0, 0.0, 0.0, 6.02409638554217]","[11.74533, 5.64839, 2.07941200943986, 0.778372, 0.945563, 0.735999763436, 2971.06, 44.578313253012, 24.0963855421687, 25.3012048192771, 0.0, 0.0, 0.0, 0.0, 6.02409638554217, 217.0, 0.733108108108108, 8.4, 13.5135135135135]","[0.778372, 0.945563, 0.735999763436, 2971.06]"
592,WIHWAN_clean,9.73279,1.34633867656742,7.22908,0.781161,0.905831,0.707599849791,2741.43,43.4782608695652,30.4347826086957,8.69565217391304,2.17391304347826,13.0434782608696,0.0,0.0,2.17391304347826,105.0,0.65625,5.0,8.0,0.0365763409,0.0009187717244562,1,0,"[9.73279, 7.22908, 1.34633867656742]","[9.73279, 7.22908, 1.34633867656742, 0.781161, 0.905831, 0.707599849791, 2741.43]","[9.73279, 7.22908, 1.34633867656742, 0.781161, 0.905831, 0.707599849791, 2741.43, 43.4782608695652, 30.4347826086957, 8.69565217391304, 2.17391304347826, 13.0434782608696, 0.0, 0.0, 2.17391304347826]","[9.73279, 7.22908, 1.34633867656742, 0.781161, 0.905831, 0.707599849791, 2741.43, 43.4782608695652, 30.4347826086957, 8.69565217391304, 2.17391304347826, 13.0434782608696, 0.0, 0.0, 2.17391304347826, 105.0, 0.65625, 8.0, 5.0]","[0.781161, 0.905831, 0.707599849791, 2741.43]"
593,WIJXEU_clean,10.21317,1.50106041031927,6.80397,0.728441,0.977705,0.712200407905,2754.05,45.945945945946,35.1351351351351,10.8108108108108,5.40540540540541,0.0,0.0,0.0,2.7027027027027,169.0,0.621323529411765,5.88235294117647,8.0,0.0404567727,0.001412679801319,1,1,"[10.21317, 6.80397, 1.50106041031927]","[10.21317, 6.80397, 1.50106041031927, 0.728441, 0.977705, 0.712200407905, 2754.05]","[10.21317, 6.80397, 1.50106041031927, 0.728441, 0.977705, 0.712200407905, 2754.05, 45.945945945946, 35.1351351351351, 10.8108108108108, 5.40540540540541, 0.0, 0.0, 0.0, 2.7027027027027]","[10.21317, 6.80397, 1.50106041031927, 0.728441, 0.977705, 0.712200407905, 2754.05, 45.945945945946, 35.1351351351351, 10.8108108108108, 5.40540540540541, 0.0, 0.0, 0.0, 2.7027027027027, 169.0, 0.621323529411765, 8.0, 5.88235294117647]","[0.728441, 0.977705, 0.712200407905, 2754.05]"
594,WIRKOZ_clean,17.38546,2.5418714170211,6.83963,0.742862,0.897341,0.666600529942,2163.48,53.2019704433498,35.4679802955665,9.60591133004926,0.0,0.0,0.0,0.0,1.72413793103448,1729.0,0.667052469135803,3.24074074074074,11.1428571428571,0.0339107955,0.0014032188080773,0,1,"[17.38546, 6.83963, 2.5418714170211]","[17.38546, 6.83963, 2.5418714170211, 0.742862, 0.897341, 0.666600529942, 2163.48]","[17.38546, 6.83963, 2.5418714170211, 0.742862, 0.897341, 0.666600529942, 2163.48, 53.2019704433498, 35.4679802955665, 9.60591133004926, 0.0, 0.0, 0.0, 0.0, 1.72413793103448]","[17.38546, 6.83963, 2.5418714170211, 0.742862, 0.897341, 0.666600529942, 2163.48, 53.2019704433498, 35.4679802955665, 9.60591133004926, 0.0, 0.0, 0.0, 0.0, 1.72413793103448, 1729.0, 0.667052469135803, 11.1428571428571, 3.24074074074074]","[0.742862, 0.897341, 0.666600529942, 2163.48]"
595,WITKIV_clean,20.46084,1.78172578223781,11.48372,0.586943,1.32449,0.77740013407,2900.02,45.1612903225806,25.8064516129032,19.6236559139785,3.2258064516129,0.0,0.0,3.2258064516129,2.95698924731183,481.0,0.71577380952381,6.54761904761905,13.2727272727273,0.0535610005,0.0018417091731574,1,1,"[20.46084, 11.48372, 1.78172578223781]","[20.46084, 11.48372, 1.78172578223781, 0.586943, 1.32449, 0.77740013407, 2900.02]","[20.46084, 11.48372, 1.78172578223781, 0.586943, 1.32449, 0.77740013407, 2900.02, 45.1612903225806, 25.8064516129032, 19.6236559139785, 3.2258064516129, 0.0, 0.0, 3.2258064516129, 2.95698924731183]","[20.46084, 11.48372, 1.78172578223781, 0.586943, 1.32449, 0.77740013407, 2900.02, 45.1612903225806, 25.8064516129032, 19.6236559139785, 3.2258064516129, 0.0, 0.0, 3.2258064516129, 2.95698924731183, 481.0, 0.71577380952381, 13.2727272727273, 6.54761904761905]","[0.586943, 1.32449, 0.77740013407, 2900.02]"
596,WIWQOI_clean,5.87719,1.23916581977963,4.74286,1.30118,0.532594,0.69300066092,1937.44,35.2941176470588,0.0,0.0,11.7647058823529,0.0,0.0,23.5294117647059,29.4117647058824,49.0,1.02083333333333,83.3333333333333,0.0,0.0172927205,0.0017624189908258,0,1,"[5.87719, 4.74286, 1.23916581977963]","[5.87719, 4.74286, 1.23916581977963, 1.30118, 0.532594, 0.69300066092, 1937.44]","[5.87719, 4.74286, 1.23916581977963, 1.30118, 0.532594, 0.69300066092, 1937.44, 35.2941176470588, 0.0, 0.0, 11.7647058823529, 0.0, 0.0, 23.5294117647059, 29.4117647058824]","[5.87719, 4.74286, 1.23916581977963, 1.30118, 0.532594, 0.69300066092, 1937.44, 35.2941176470588, 0.0, 0.0, 11.7647058823529, 0.0, 0.0, 23.5294117647059, 29.4117647058824, 49.0, 1.02083333333333, 0.0, 83.3333333333333]","[1.30118, 0.532594, 0.69300066092, 1937.44]"
597,WIWQUO_clean,5.86317,1.22820023503338,4.77379,1.51311,0.456676,0.69100102236,1653.77,35.2941176470588,0.0,0.0,11.7647058823529,0.0,0.0,23.5294117647059,29.4117647058824,49.0,1.02083333333333,83.3333333333333,0.0,0.0149544701,0.0016312743474098,0,1,"[5.86317, 4.77379, 1.22820023503338]","[5.86317, 4.77379, 1.22820023503338, 1.51311, 0.456676, 0.69100102236, 1653.77]","[5.86317, 4.77379, 1.22820023503338, 1.51311, 0.456676, 0.69100102236, 1653.77, 35.2941176470588, 0.0, 0.0, 11.7647058823529, 0.0, 0.0, 23.5294117647059, 29.4117647058824]","[5.86317, 4.77379, 1.22820023503338, 1.51311, 0.456676, 0.69100102236, 1653.77, 35.2941176470588, 0.0, 0.0, 11.7647058823529, 0.0, 0.0, 23.5294117647059, 29.4117647058824, 49.0, 1.02083333333333, 0.0, 83.3333333333333]","[1.51311, 0.456676, 0.69100102236, 1653.77]"
598,WIYFAM_clean,9.09166,1.48197423563489,6.13483,0.794129,0.918742,0.729599665718,2943.87,38.3561643835616,38.3561643835616,6.84931506849315,10.958904109589,0.0,0.0,0.0,5.47945205479452,29.0,0.517857142857143,14.2857142857143,2.5,0.0350206168,0.0013269347199003,1,0,"[9.09166, 6.13483, 1.48197423563489]","[9.09166, 6.13483, 1.48197423563489, 0.794129, 0.918742, 0.729599665718, 2943.87]","[9.09166, 6.13483, 1.48197423563489, 0.794129, 0.918742, 0.729599665718, 2943.87, 38.3561643835616, 38.3561643835616, 6.84931506849315, 10.958904109589, 0.0, 0.0, 0.0, 5.47945205479452]","[9.09166, 6.13483, 1.48197423563489, 0.794129, 0.918742, 0.729599665718, 2943.87, 38.3561643835616, 38.3561643835616, 6.84931506849315, 10.958904109589, 0.0, 0.0, 0.0, 5.47945205479452, 29.0, 0.517857142857143, 2.5, 14.2857142857143]","[0.794129, 0.918742, 0.729599665718, 2943.87]"
599,WOLREV_clean,9.92256,1.68538913612121,5.8874,0.624717,1.1887,0.7426010979,3966.07,46.031746031746,25.3968253968254,0.0,25.3968253968254,0.0,0.0,0.0,3.17460317460317,253.0,0.727011494252874,6.89655172413793,0.0,0.0503911449,0.0019929296342324,1,1,"[9.92256, 5.8874, 1.68538913612121]","[9.92256, 5.8874, 1.68538913612121, 0.624717, 1.1887, 0.7426010979, 3966.07]","[9.92256, 5.8874, 1.68538913612121, 0.624717, 1.1887, 0.7426010979, 3966.07, 46.031746031746, 25.3968253968254, 0.0, 25.3968253968254, 0.0, 0.0, 0.0, 3.17460317460317]","[9.92256, 5.8874, 1.68538913612121, 0.624717, 1.1887, 0.7426010979, 3966.07, 46.031746031746, 25.3968253968254, 0.0, 25.3968253968254, 0.0, 0.0, 0.0, 3.17460317460317, 253.0, 0.727011494252874, 0.0, 6.89655172413793]","[0.624717, 1.1887, 0.7426010979, 3966.07]"
600,WOPSAX_clean,11.66235,1.06485252116493,10.95208,1.12361,0.57618,0.6474016098,1383.67,44.4444444444444,11.1111111111111,33.3333333333333,0.0,0.0,0.0,0.0,11.1111111111111,64.0,0.888888888888889,25.0,6.0,0.0254953369,0.0006868191785943,0,0,"[11.66235, 10.95208, 1.06485252116493]","[11.66235, 10.95208, 1.06485252116493, 1.12361, 0.57618, 0.6474016098, 1383.67]","[11.66235, 10.95208, 1.06485252116493, 1.12361, 0.57618, 0.6474016098, 1383.67, 44.4444444444444, 11.1111111111111, 33.3333333333333, 0.0, 0.0, 0.0, 0.0, 11.1111111111111]","[11.66235, 10.95208, 1.06485252116493, 1.12361, 0.57618, 0.6474016098, 1383.67, 44.4444444444444, 11.1111111111111, 33.3333333333333, 0.0, 0.0, 0.0, 0.0, 11.1111111111111, 64.0, 0.888888888888889, 6.0, 25.0]","[1.12361, 0.57618, 0.6474016098, 1383.67]"
