train_size,y_true,y_pred,accuracy,f1_macro,f1_micro,f1_weighted,kappa
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",1.0,1.0,1.0,1.0,1.0
10,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.95,0.9134199134199135,0.95,0.9471861471861471,0.8275862068965517
15,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",1.0,1.0,1.0,1.0,1.0
15,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",0.8666666666666667,0.7916666666666666,0.8666666666666667,0.8666666666666667,0.5833333333333333
15,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0.9333333333333333,0.88,0.9333333333333333,0.928,0.7619047619047619
15,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0.8666666666666667,0.7115384615384616,0.8666666666666667,0.8384615384615385,0.4444444444444444
15,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",1.0,1.0,1.0,1.0,1.0
15,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.8666666666666667,0.7916666666666666,0.8666666666666667,0.8666666666666667,0.5833333333333333
15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.8666666666666667,0.7916666666666666,0.8666666666666667,0.8666666666666667,0.5833333333333333
15,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.9333333333333333,0.88,0.9333333333333333,0.928,0.7619047619047619
15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]",1.0,1.0,1.0,1.0,1.0
15,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",0.8666666666666667,0.7916666666666666,0.8666666666666667,0.8666666666666667,0.5833333333333333
20,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1.0,1.0,1.0,1.0,1.0
20,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",0.9,0.8666666666666667,0.9,0.9066666666666666,0.736842105263158
20,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.9,0.803921568627451,0.9,0.8862745098039216,0.6153846153846154
20,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8,0.4444444444444444,0.8,0.711111111111111,0.0
20,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1.0,1.0,1.0,1.0,1.0
20,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",1.0,1.0,1.0,1.0,1.0
20,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0.9,0.8666666666666667,0.9,0.9066666666666666,0.736842105263158
20,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.9,0.803921568627451,0.9,0.8862745098039216,0.6153846153846154
20,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",1.0,1.0,1.0,1.0,1.0
20,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0.9,0.803921568627451,0.9,0.8862745098039216,0.6153846153846154
25,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",1.0,1.0,1.0,1.0,1.0
25,"[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]",1.0,1.0,1.0,1.0,1.0
25,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",0.8,0.4444444444444444,0.8,0.711111111111111,0.0
25,"[0, 0, 1, 0, 0]","[0, 0, 0, 0, 0]",0.8,0.4444444444444444,0.8,0.711111111111111,0.0
25,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",1.0,1.0,1.0,1.0,1.0
25,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",1.0,1.0,1.0,1.0,1.0
25,"[0, 0, 0, 1, 0]","[0, 0, 0, 1, 0]",1.0,1.0,1.0,1.0,1.0
25,"[0, 0, 0, 1, 0]","[0, 0, 0, 1, 0]",1.0,1.0,1.0,1.0,1.0
25,"[0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]",1.0,1.0,1.0,1.0,1.0
25,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",0.8,0.4444444444444444,0.8,0.711111111111111,0.0
