train_size,y_true,y_pred,accuracy,f1_macro,f1_micro,f1_weighted,kappa
10,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1]",0.95,0.949874686716792,0.95,0.949874686716792,0.9
10,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1]",0.9,0.898989898989899,0.9,0.898989898989899,0.8
15,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1]","[0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1]",0.8,0.7963800904977376,0.8,0.7945701357466064,0.6086956521739131
15,"[0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1]",0.9333333333333333,0.9321266968325792,0.9333333333333333,0.9327300150829563,0.8648648648648649
15,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1]",0.9333333333333333,0.9321266968325792,0.9333333333333333,0.9327300150829563,0.8648648648648649
15,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]",1.0,1.0,1.0,1.0,1.0
15,"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]",0.8666666666666667,0.8660714285714286,0.8666666666666667,0.8654761904761905,0.736842105263158
15,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",0.8,0.784688995215311,0.8,0.7885167464114832,0.5871559633027523
15,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0]",0.8,0.7963800904977376,0.8,0.7981900452488688,0.5945945945945946
15,"[1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",0.8,0.784688995215311,0.8,0.7885167464114832,0.5871559633027523
15,"[0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0]","[0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0]",0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8672566371681416
15,"[0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1]","[0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1]",0.8666666666666667,0.8660714285714286,0.8666666666666667,0.8654761904761905,0.736842105263158
20,"[0, 1, 0, 0, 1, 0, 1, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 1, 1, 1, 0]",0.9,0.898989898989899,0.9,0.898989898989899,0.8
20,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",0.9,0.898989898989899,0.9,0.898989898989899,0.8
20,"[0, 1, 0, 1, 1, 1, 0, 0, 1, 0]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 0]",1.0,1.0,1.0,1.0,1.0
20,"[0, 1, 0, 1, 1, 0, 0, 1, 0, 1]","[0, 1, 0, 1, 1, 0, 0, 1, 0, 1]",1.0,1.0,1.0,1.0,1.0
