train_size,y_true,y_pred,accuracy,f1_macro,f1_micro,f1_weighted,kappa
10,"[0, 1, 0, 0, 0, 1, 1, 1, 0]","[0, 0, 1, 0, 1, 0, 0, 1, 0]",0.4444444444444444,0.41558441558441556,0.4444444444444444,0.43001443001442996,-0.15384615384615397
10,"[1, 0, 1, 0, 1, 0, 0, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 0, 0]",0.3333333333333333,0.325,0.3333333333333333,0.31666666666666665,-0.2857142857142856
10,"[0, 1, 0, 1, 1, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 1, 1, 1]",0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,-0.09756097560975618
12,"[0, 1, 0, 1, 0, 0, 1]","[0, 0, 1, 1, 0, 0, 1]",0.7142857142857143,0.7083333333333333,0.7142857142857143,0.7142857142857143,0.41666666666666663
12,"[0, 0, 1, 0, 1, 0, 1]","[1, 1, 1, 0, 1, 1, 0]",0.42857142857142855,0.41666666666666663,0.42857142857142855,0.4047619047619047,-0.07692307692307687
12,"[1, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 1, 1, 1, 1]",0.42857142857142855,0.41666666666666663,0.42857142857142855,0.4047619047619047,-0.07692307692307687
12,"[1, 0, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 1, 1, 1]",0.7142857142857143,0.7083333333333333,0.7142857142857143,0.7023809523809523,0.46153846153846156
12,"[0, 0, 1, 1, 0, 1, 0]","[0, 0, 0, 1, 0, 1, 0]",0.8571428571428571,0.8444444444444444,0.8571428571428571,0.8507936507936508,0.6956521739130435
12,"[1, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0]",0.7142857142857143,0.7083333333333333,0.7142857142857143,0.7142857142857143,0.41666666666666663
12,"[1, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 1, 1, 0, 0]",0.42857142857142855,0.41666666666666663,0.42857142857142855,0.42857142857142855,-0.16666666666666674
12,"[1, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",0.7142857142857143,0.65,0.7142857142857143,0.6714285714285715,0.36363636363636376
