Materials,Prozessbedingung,homogenized_temperature,homogenized_time,solutionized_temperature,solutionized_time,extrution_temperature,extrution_speed,extrusion_ratio,ECAE_temperature,ECAE_pass,Fe,Cu,Ni,Nd,Zn,Ca,Al,Sn,Mn,Si,Gd,Y,Zr,grain_size,grain_size_error,second_phase,second_phase_error,vpd
Mg-5Gd,extruded,,,525,8,400,40,25,,,0.0049,0.0007,0.0013,0,0,0,0,0,0,0,4.82,0,0,21.4,0,0.7,0.3,?
Mg-5Gd,extruded,,,525,8,450,12.5,25,,,0.0049,0.0007,0.0013,0,0,0,0,0,0,0,4.82,0,0,12.5,0,0.65,0.34,?
Mg-5Gd,extruded,,,525,8,450,20,25,,,0.0049,0.0007,0.0013,0,0,0,0,0,0,0,4.82,0,0,20,0,0.85,0.38,?
Mg-5Gd,extruded,,,525,8,450,40,25,,,0.0049,0.0007,0.0013,0,0,0,0,0,0,0,4.82,0,0,28.3,0,0.65,0.42,?
Mg-10Gd,extruded,,,525,8,350,12.5,25,,,0.0119,0.0007,0.0013,0,0,0,0,0,0,0,9.62,0,0,5.1,0,0.75,0.41,?
Mg-10Gd,extruded,,,525,8,350,20,25,,,0.0119,0.0007,0.0013,0,0,0,0,0,0,0,9.62,0,0,10.3,0,0.48,0.21,?
Mg-10Gd,extruded,,,525,8,350,40,25,,,0.0119,0.0007,0.0013,0,0,0,0,0,0,0,9.62,0,0,15.1,0,0.49,0.08,?
Mg-10Gd,extruded,,,525,8,400,12.5,25,,,0.0119,0.0007,0.0013,0,0,0,0,0,0,0,9.62,0,0,8,0,0.4,0.38,?
Mg-10Gd,extruded,,,525,8,400,20,25,,,0.0119,0.0007,0.0013,0,0,0,0,0,0,0,9.62,0,0,15.3,0,0.37,0.29,?
Mg-10Gd,extruded,,,525,8,400,40,25,,,0.0119,0.0007,0.0013,0,0,0,0,0,0,0,9.62,0,0,22.4,0,0.6,0.21,?
Mg-10Gd,extruded,,,525,8,450,12.5,25,,,0.0119,0.0007,0.0013,0,0,0,0,0,0,0,9.62,0,0,11.7,0,0.73,0.25,?
Mg-10Gd,extruded,,,525,8,450,20,25,,,0.0119,0.0007,0.0013,0,0,0,0,0,0,0,9.62,0,0,18.6,0,0.93,0.33,?
Mg-10Gd,extruded,,,525,8,450,40,25,,,0.0119,0.0007,0.0013,0,0,0,0,0,0,0,9.62,0,0,25.7,0,0.38,0.15,?
Mg-5Gd,extruded,,,525,6,400,0.7,84,,,0,0,0,0,0,0,0,0,0,0,5,0,0,51.78,10.91,0.25,0.03,?
Mg-10Gd,extruded,,,525,6,400,0.52,84,,,0,0,0,0,0,0,0,0,0,0,5,0,0,26.67,1.3,0.56,0.08,?
