,SMILES,E_coh (MPa),T_g (K),R_gyr (A^2),Densities (kg/m^3),E_coh_bin,T_g_bin,R_gyr_bin,Densities_bin,smiles_lenght
171,C=CC(=O)N(CC)CC1CCOC1,487.5390204110196,296.7077092023799,7.540737087868297e-20,1038.8200601361712,0,0,0,0,21
172,C=CC(=O)Oc1ccc(C(=O)Oc2ccc(OCCCC)cc2)cc1,526.0039879998958,315.8466814178994,3.1713080852528823e-19,1167.9548513289624,0,0,1,1,40
173,C=CCOc1ccc(CN(C)C(=O)C=C)cc1,515.1984210072414,319.57971485619555,1.364911253230834e-19,1066.840253126165,0,0,1,0,28
174,C=CC(=O)NC(C(=O)O)C1CC1,879.7355526661424,309.55520030848913,6.153828119597573e-20,1171.90163798197,1,0,0,1,23
175,C=CC(=O)NC(CNC(=O)c1cc(OC)cc(OC)c1)c1ccccc1,538.1063525447393,370.8266466636894,1.7350619948220906e-19,1170.2047012329615,0,1,1,1,43
176,C=C(C)C(=O)OCC(C)O,511.1105748194621,243.50960866927963,6.236616699026923e-20,1029.020690433198,0,0,0,0,18
177,C=C(C)C(=O)Nc1nc2scc(-c3ccc(NC(C)=O)cc3)n2n1,714.7265192748903,319.9590589888509,1.9654624474831556e-19,1285.1491071711127,1,1,1,1,44
178,C=CC(=O)Nc1ccc2c(c1)N(C)CCC2,611.4662840065677,349.2297392829409,1.0268997866201716e-19,1123.5156157896654,1,1,1,0,28
179,C=CC(=O)N1CCCC1CN(C)C,471.7906973563664,284.37695372403107,7.493654090651393e-20,1011.8466847822656,0,0,0,0,21
180,C=CC(=O)NC1(CC)CCC1,497.20984706207975,269.9833317229669,5.520704239600291e-20,996.3819161188582,0,0,0,0,19
181,C=CC(=O)N1CCOCC1,627.801313867747,275.04726793597547,5.0853840849153477e-20,1114.2571252830692,1,0,0,0,16
182,C=CCSc1ccccc1NC(=O)C=C,505.84104390653073,266.381780996059,8.996255257990432e-20,1132.3357119624352,0,0,0,1,22
183,C=C(C)C(=O)Nc1ccc(NC(=O)C(F)(F)F)cc1,600.5169150197762,352.8586877212872,1.7291200260357682e-19,1345.164060412088,1,1,1,1,36
184,C=C(C)C(=O)NCCCOC(C)C,444.4413221590752,267.6060499622049,1.1731120244457296e-19,973.8358261600569,0,0,1,0,21
185,C=CC(=O)NCC(N)C(C)O,706.135852614507,333.885311193156,7.167522785552681e-20,1119.4474379954834,1,1,0,0,19
186,C=CC(=O)NC(CC(F)(F)F)C(C)(C)C,411.9490239055234,262.4364177265552,7.882680612879693e-20,1146.3529658806965,0,0,0,1,29
187,C=C(C)C(=O)Oc1ccc(C(=O)OC)cc1,515.8527501541183,278.5351362156634,1.279900322429034e-19,1160.0287074075047,0,0,1,1,29
188,C=CC(=O)N(CC(=O)O)C(C)(C)C,843.6317055507216,317.71277149904336,6.03835594289861e-20,1096.1880938623651,1,0,0,0,26
189,C=CC(=O)NCC(=O)NC1CC1,795.825785009831,340.6117110085197,7.063229843552978e-20,1134.3912137809014,1,1,0,1,21
190,C=CC(=O)N(C)CC(C)(C)CN1CCOCC1,448.2781686590234,325.96387005114013,1.1555011677419304e-19,1030.3809437341502,0,1,1,0,29
191,C=CC(=O)Oc1ccc(N2C(=O)C3C4c5ccccc5C(c5ccccc54)C3C2=O)cc1,475.2434679302912,313.3509912648822,2.1012439084981056e-19,1158.733512028369,0,0,1,1,56
192,C=CC(=O)N1CCCC2(CCS(=O)(=O)C2)C1,572.9058772994857,351.859370136646,7.684778877858026e-20,1237.3382663884752,1,1,0,1,32
193,C=CC(=O)Nc1ccccc1-c1nncn1C,641.5491515518911,372.6827517470072,8.437931766750778e-20,1194.60866855236,1,1,0,1,26
194,C=CC(=O)NCCCl,647.6247581584319,254.26951268896,5.537640455077903e-20,1195.4112418830723,1,0,0,1,13
195,C=CC(=O)N1C[C@@H]2CN(Cc3cccnc3)C[C@@H]2C1,562.8579049120538,370.1716595564961,1.5122376262101058e-19,1125.928441865828,1,1,1,0,41
196,C=C(C)C(=O)Nc1cccc(F)c1,566.426657673003,288.4486559231449,8.456799951122167e-20,1161.5301245660846,1,0,0,1,23
197,C=CC(=O)Nc1cccc(Br)c1COC,518.3465804484152,282.1954081160593,9.2388519668659e-20,1446.213671180382,0,0,0,1,24
198,C=C(C)C(N)=O,1071.9267113877904,327.367220869853,2.753377966385046e-20,1086.7957352811145,1,1,0,0,12
199,C#CCN1CCN(C(=O)C=C)CC1=O,607.9394909461952,331.41836978646984,8.827735230509169e-20,1163.8498647158897,1,1,0,1,24
200,C=C(C)C(=O)NCc1csc(C)n1,611.5504026938384,285.30832067191056,9.529845608519673e-20,1178.8755225856637,1,0,0,1,23
201,C=CC(=O)N1CCCC(c2cc(Nc3nc(C)cc(C)n3)nc(C)n2)C1,608.0450489240881,399.839186713392,1.8848716019040031e-19,1067.984064901974,1,1,1,0,46
202,C=CC(=O)NC(C)C,504.7439576943358,243.91012600158348,4.531231425930577e-20,947.2594597959854,0,0,0,0,14
203,C=CC(=O)Nc1ccccc1CNC(=O)c1ccc(OC(=O)OCC)cc1,567.9349766360608,350.84139104644885,2.666885893880322e-19,1207.16261438929,1,1,1,1,43
204,C=CC(=O)N1CCCc2ccccc21,535.1560341276456,325.6726385910605,6.804182332997076e-20,1107.248676365528,0,1,0,0,22
205,C=CC(=O)NCc1cnc(C)cc1C,601.1900480692414,335.73044855374405,9.20722795306342e-20,1083.1081557850343,1,1,0,0,22
206,C=C(C)C(=O)N1CCn2cc(C(=O)NCCc3ccccc3)nc2C1c1ccccc1,471.9283452190388,380.8572538252139,2.252596953177171e-19,1136.034857738248,0,1,1,1,50
207,C=C(C)C(=O)OCCOC(=O)C1=C(C)OC(N)=C(C#N)C1c1cccc(Cl)c1,483.566052123175,372.97802650788,1.5723422286943422e-19,1241.4771878805882,0,1,1,1,53
208,C=C(C)C(=O)OCC(F)(F)F,362.5531676959771,212.81325127301423,6.0567680574684e-20,1228.0544602171412,0,0,0,1,21
209,C=C(C)C(=O)OC(c1ccccc1)(c1ccccc1)c1ccccc1,408.9176077461403,372.8303097447803,1.1012241196176969e-19,1020.99573668534,0,1,1,0,41
210,C=CC(=O)Nc1ccc(C(=O)NC(C)c2ccc(-c3ccccc3)cc2)cc1,562.0318374356436,388.3878056962096,2.809586546334767e-19,1143.062622446913,1,1,1,1,48
211,C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,409.9774525769759,298.5448586934059,2.2058088040060103e-19,1180.3639892367585,0,0,1,1,81
212,C=CC(=O)NC1CCN(c2nnc3ccccn23)CC1,636.3369978982897,394.2776796241277,1.4655474225543324e-19,1190.7235848174755,1,1,1,1,32
213,C=CC(=O)OCC(CC)(CO)CO,521.2997070327056,290.15471378058123,7.834933116590586e-20,1082.3781090834884,0,0,0,0,21
214,C=C(C)C(=O)NCCCNCc1c2ccccc2c(CNCCC(=O)OC(C)(C)C)c2ccccc12,450.3828434917972,380.0006290975225,3.733834199851381e-19,1092.2630306685376,0,1,1,0,57
215,C=CC(=O)N1CCN(c2cnccn2)CC1,696.3495320956665,341.05558493373974,1.0539807326320944e-19,1194.3458966894016,1,1,1,1,26
216,C=CC(=O)N(C)CC(=O)NC(C)CN(C)C(=O)OC(C)(C)C,381.589988929213,397.79442375898975,1.0395228204111836e-19,1055.6579128246542,0,1,1,0,42
217,C=CC(=O)NCC=C(C)C,560.6861288374986,254.59463593964105,7.539641725148788e-20,966.7803195660598,1,0,0,0,17
218,C=CC(=O)N1CCC[C@H]1C(=O)OC,586.053776821018,307.95557603398254,6.442127040723822e-20,1135.8364313573106,1,0,0,1,26
219,C=CC(=O)NCC1CCCCC1C,468.0406061518503,282.8058942446113,8.702152168396764e-20,986.5684529414652,0,0,0,0,19
220,C=C(C)C(=O)Nc1cccc2c(S(=O)(=O)Cl)cccc12,598.7328019957473,386.6726134850064,1.366726639948223e-19,1358.302432642812,1,1,1,1,39
221,C=C(C)C(=O)N1CCN(c2nc3ccc(CC)cc3s2)CC1,401.747318208501,356.87113216099453,1.8305471840204452e-19,1164.5325957562495,0,1,1,1,38
222,C=CC(=O)N1CCn2cc(C(=O)NCCc3ccccc3)nc2C1c1ccccc1,535.9684339591092,349.97892253391285,2.181478414754489e-19,1160.7066464368434,0,1,1,1,47
223,C=CC(=O)Oc1cccc(Br)c1,547.2706157028317,250.6395528843665,9.022783803783094e-20,1335.8467358412358,0,0,0,1,21
224,C=CCNC(=O)C=C,633.9331677241117,236.3041486233741,4.930392714942471e-20,842.932299024137,1,0,0,0,13
225,C=CC(=O)N1CCNCC1C(=O)N(C)C,706.9564143863282,376.8198111777722,6.909145601167784e-20,1132.9645458188863,1,1,0,1,26
226,C=CC(N)=O,1309.3655485260963,337.5838422475829,2.2653859792531642e-20,1140.657981571215,1,1,0,1,9
227,C=CC(=O)OCc1ccccc1,498.1384177671201,242.8876892426557,8.377605445851996e-20,1068.9317629316029,0,0,0,0,18
228,C=CC(=O)N1CCCCC1CCNC,539.9510851155144,296.7707365325176,8.293146870902193e-20,1022.1963342118834,0,0,0,0,20
229,C=C(C)C(=O)OCC[C@@H](C)OC,392.3644009704841,227.4763796275775,9.542982540758424e-20,965.9599443239572,0,0,0,0,25
230,C=CC(=O)NCO,1188.7765792748366,353.46161795417424,4.0060255662938045e-20,1191.3053334564077,1,1,0,1,11
231,C=C(C)C(=O)Oc1ccc(Cc2ccccc2)cc1,480.3458714119441,277.4620698156215,1.5885051210208614e-19,1091.9043471905422,0,0,1,0,31
232,C=CC(=O)OCC(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,266.164331525394,260.27801529525334,1.351341075440558e-19,1691.5126600509652,0,0,1,1,61
233,C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,318.88751366181685,346.6490001474426,2.9537452733834533e-19,1826.5121544581443,0,1,1,1,82
234,C=CC(=O)NCCCc1nc(C)no1,664.7397088039002,306.09563474978563,1.1013252260260794e-19,1153.7445631723244,1,0,1,1,22
235,C=CC(=O)NCc1ccc(NC(=O)CCNC(=O)OC(C)(C)C)cc1,616.8973208680305,403.82977167412577,2.95246916187564e-19,1139.8013552094246,1,1,1,1,43
236,C=CN1CCCCCC1=O,618.4787835917681,262.6616140568744,4.655738937708274e-20,1022.8199410242812,1,0,0,0,14
237,C=CC(=O)NCCN(Cc1ccccc1)c1nccc(C)n1,513.4846606730267,389.825074608304,1.2305520533083637e-19,1113.8502200464288,0,1,1,0,34
238,C=CC(=O)OCCC,385.80549947792304,214.76892024248127,5.3330857992929006e-20,924.091081055907,0,0,0,0,12
239,C=CC(=O)Nc1ccc(-n2cnnn2)cc1,780.8266947889115,365.03828805731735,1.2559596493416405e-19,1276.425186152689,1,1,1,1,27
240,C=CC(=O)OC12C[C@H]3C[C@H](CC(O)(C3)C1)C2,508.7479760449952,321.74054696489463,7.720313200360757e-20,1141.831652601525,0,1,0,1,40
241,C=CC(=O)N(C)CC(=O)N(C)C1CCCCC1,468.7101983563047,337.2330790103204,1.0174045604284877e-19,1046.2253036006575,0,1,1,0,30
242,C=CC(=O)NCCC(=O)N1CC[C@H]2CN(C(=O)OC(C)(C)C)C[C@H]21,513.6703019518392,384.9134818397738,1.887086033091943e-19,1111.607321246068,0,1,1,0,52
243,C=C(C)C(=O)N(CCCC)CCCC,340.39870101425834,256.24262397640365,8.923555176786604e-20,885.6461244608676,0,0,0,0,22
244,C=CC(=O)N1CCc2nc3cc(C4CCCCN4C(=O)C(C)C)[nH]n3c(=O)c2C1,553.0707889376882,304.01095071937016,2.1257591618156832e-19,1166.4520831709374,1,0,1,1,54
245,C=CC(=O)NCc1cccc(F)c1,616.0739547047981,290.908772682442,8.721825003322089e-20,1169.7823722239252,1,0,0,1,21
246,C=CC(=O)Nc1ncc(C(=O)O)s1,819.4676942226075,373.3131794178902,8.876284601126291e-20,1387.09343156735,1,1,0,1,24
247,C=CC(=O)NCCc1ccccc1OC,549.6203543831982,318.9829616856099,9.665093445049452e-20,1095.402537519253,0,0,0,0,21
248,C=C(C)C(=O)NCCC#N,663.3356196579728,278.547181170596,7.556508533136896e-20,1048.5493663904049,1,0,0,0,17
249,C=CC(=O)NC(C)(C)CC(C)(C)C,360.61901516333904,250.28938588264623,7.187783124309871e-20,921.7047193265988,0,0,0,0,25
250,C=C(C)C(=O)NC(C)c1ccc(C)cc1C,455.2402745521557,311.69271680626406,1.018196599192215e-19,1013.53933318265,0,0,1,0,28
251,C=CC(=O)N1CCC(COc2ccccc2C(=O)N2CCCC2)CC1,476.9846839316528,384.6658075711652,1.6943114845262034e-19,1114.1047908160187,0,1,1,0,40
252,C=C(C)C(=O)Nc1ccc(OCC)c(OCC)c1,554.6252748342865,360.9331332390899,1.33978888568563e-19,1091.9930584309209,1,1,1,0,30
253,C=C(C)C(=O)N1CCC(c2nc3ccccc3[nH]2)CC1,657.1264331909522,380.1478485448925,1.4978243888735612e-19,1127.8434179041144,1,1,1,0,37
254,C=CC(=O)N1CCc2sccc2C1C(=O)O,790.8882490745967,371.7223247808828,8.03385577691814e-20,1284.7312121720954,1,1,0,1,27
255,C=C(C)C(=O)NCC1CCN(C(=O)C(F)(F)F)CC1,462.9533529885849,313.9833398335042,1.3185670821573816e-19,1245.255416179355,0,0,1,1,36
256,C=CC(=O)N1CCCCC1C(=O)OCC,495.4537202912094,286.9290736911651,7.58739601798476e-20,1092.7503625066754,0,0,0,0,24
257,C=CC(=O)NCC(F)(F)CNC(=O)OC(C)(C)C,558.9381120904426,345.5093252512818,1.3213228102091106e-19,1208.3904983861032,1,1,1,1,33
258,C=C(C)C(=O)NC(=O)OCCOc1c(Br)cc(S(=O)(=O)c2cc(Br)c(OCCO)c(Br)c2)cc1Br,547.6643480704217,373.1580157768556,2.929921673174308e-19,1842.1097839556624,0,1,1,1,68
259,C=CC(=O)N1CCC2(CC1)CN(Cc1cccc(OC)c1)CCO2,463.1902125688201,377.3335385501225,1.6843239935149492e-19,1114.4254141381934,0,1,1,0,40
260,C=C(C)C(=O)NCc1ccc(NC(=O)c2ccc(OC(=O)OCC)cc2)cc1,645.2244873097161,375.6210382112284,3.5910708298173123e-19,1195.1238906657736,1,1,1,1,48
261,C=CC(=O)Nc1ccc(Cl)c(C(=O)NC)c1,724.0971566359528,400.07003942622015,1.0922853649035046e-19,1282.4598142691368,1,1,1,1,30
262,C=CC[Si](CC=C)(CC=C)CCCOC(=O)C=C,320.11841687415,217.41074032779423,1.3817883542497066e-19,922.9381908347752,0,0,1,0,32
263,C=CC(=O)NCCCN1CCN(CCC)CC1,732.738555772227,329.5948206497612,1.8212265219416448e-19,1013.3021854634916,1,1,1,0,25
264,C=CC(=O)NC(C)c1ccc(OC)cc1OC,521.6956676034122,345.7423110764947,1.0177016488056999e-19,1107.2975970038308,0,1,1,0,27
265,C=CC(=O)NC1(C(=O)OC)CCCCC1,587.5877273079006,328.4437214223399,7.1774378609849e-20,1105.415718386504,1,1,0,0,26
266,C=CC(=O)Oc1ccccc1OCC,558.1558197104587,289.4909291033516,7.935231339315138e-20,1114.3201082682936,1,0,0,0,20
267,C=C(C)C(=O)N(Cc1ccccc1)Cc1ccccc1,454.3013349374968,358.07114458223566,1.1643667423802509e-19,1059.4585464061324,0,1,1,0,32
268,C=CC(=O)NC1CC(=O)N(c2ccc(Oc3ccccc3)cc2)C1,590.4549498985814,365.7253614502112,2.162315400800181e-19,1123.208692485361,1,1,1,0,41
269,C=CC(=O)Nc1cnn(CC(=O)OC)c1,845.0213234623528,347.0697616801597,1.1530054481561418e-19,1242.7256644863417,1,1,1,1,26
270,C=CC(=O)N1CCC1=O,719.9692533571882,264.2160112210412,4.349110133274598e-20,1167.3898686596858,1,0,0,1,16
271,C=CC(=O)N(CCc1ccc(Cl)cc1)CC(O)C(F)(F)F,442.530507236262,358.254330009393,1.7498567154450962e-19,1168.2629178245727,0,1,1,1,38
272,C=CC(=O)N1CCCCCC1C,445.7040685542881,268.58282226088164,5.658353054818841e-20,991.9528359620696,0,0,0,0,18
273,C=CC(=O)NC(C)CC1CC1,443.78871213497735,246.7079244516817,6.702963343946019e-20,956.4841905255224,0,0,0,0,19
274,C=CC(=O)N1CCCC(CNC(N)=O)C1,813.2597103205945,367.12260242626985,1.046714428811631e-19,1170.3325857063223,1,1,1,1,26
275,C=CC(=O)NCCCC[C@H](N)C(=O)O,766.6975379399711,344.59623308876826,1.1651986636197837e-19,1153.2882357256462,1,1,1,1,27
276,C=C(C)C(=O)NCCC(C)C,544.0325937420668,246.12186212033183,8.176531694505484e-20,914.9512494144768,0,0,0,0,19
277,C=C(C)C(=O)N(CCC)CCC,361.9713191180435,242.93884238690708,6.296761073338666e-20,897.3929879716852,0,0,0,0,20
278,C=CC(=O)Nc1ccc(OC)c(OC(F)F)c1,649.6563165215805,327.2194723159611,1.1007337229992985e-19,1304.3011037890549,1,1,1,1,29
279,C=CC(=O)Nc1cc(C(=O)O)cc(C(=O)O)c1,955.344657193904,350.59869491858944,1.1028801155020686e-19,1317.5256671983452,1,1,1,1,33
280,C=C(C)C(=O)NCc1ccc(-c2nc(-c3ccc(OC)c(OC)c3)cs2)cc1,550.5606297065087,380.36014391236927,2.991589490284291e-19,1195.4134998469974,1,1,1,1,50
281,C=C(C)C(=O)N1CCC(NC(=O)c2cccc(OC(C)=O)c2)CC1,554.2230576228847,408.31242297786366,2.2156787413708673e-19,1149.3898809526888,1,1,1,1,44
282,C=CC(=O)N(C)Cc1ccc(N2CCCCCC2)cc1,470.385146840347,339.02271135795024,1.4941046974511841e-19,1060.4109140678415,0,1,1,0,32
283,C=CC(=O)Nc1cc(C2CC2)nn1C1CCS(=O)(=O)C1,666.5154531987129,328.32045016045214,1.279590087604656e-19,1248.335636573309,1,1,1,1,38
284,C=C(C)C(=O)NCC(C)C,425.8685128369947,241.1004304513331,6.172713594657983e-20,922.0796669645204,0,0,0,0,18
285,C#CCOCCOC(=O)C=C,531.7368326301207,260.1896780429877,8.594484857462629e-20,1068.8460845828308,0,0,0,0,16
286,C=C(C)C(=O)Nc1cc(F)ccc1F,474.0897656103777,255.20647092573225,8.387556513467199e-20,1217.7113743657137,0,0,0,1,24
287,C=CC(=O)N1CCCC(n2nc(C(=O)Nc3ccc(CC(=O)N(C)C)c(C)c3C)c3c(N)ncnc32)C1,519.037093450621,367.5391311273125,2.105433046572067e-19,1195.5864049883282,0,1,1,1,67
288,C=CC(=O)OCCCN(C)C,459.4061627888891,239.2445653563657,9.819365901879796e-20,966.4929767311324,0,0,1,0,17
289,C=CC(=O)Nc1cccc(F)c1F,499.9785245702227,274.99540643859154,7.562437470247901e-20,1280.4851387863066,0,0,0,1,21
290,C=CC(=O)N(Cc1ccc(C)cc1)C1CCCCC1,439.1280189657381,346.938946284741,1.1395626740690825e-19,1012.241136745476,0,1,1,0,31
291,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,582.3351097677322,327.3529122326569,3.0861142661923907e-19,1296.6026667542324,1,1,1,1,53
292,C=CC(=O)N(CCO)Cc1ccccc1,514.4093023010579,328.08663329333064,8.270393948665114e-20,1094.8427572309597,0,1,0,0,23
293,C=CC(=O)N1CC(CC(=O)O)C1,763.5633670056059,312.20961056599424,8.352248469362985e-20,1178.0805580560825,1,0,0,1,23
294,C=CC(=O)NC(C#N)CCOC(C)C,525.8616977207157,302.1675355117677,1.0477323595571794e-19,1036.6161382310129,0,0,1,0,23
295,C=C(C)C(=O)N1CCC(c2nc3ccc(C)cc3[nH]2)CC1,603.3956623414065,376.67338177247,1.6549267570185022e-19,1054.312660759049,1,1,1,0,40
296,C=CC(=O)N1CCCC1c1nccnc1Nc1nccs1,575.504967480438,394.29944476831633,9.88968347165352e-20,1246.2210574184146,1,1,1,1,31
297,C=CC(=O)Nc1ccc(OCC)c(OCC)c1,605.402561541159,368.7437375825813,1.2198829653698698e-19,1109.6814038795872,1,1,1,0,27
298,C=CC(=O)NOCC(=C)C,701.1223881821008,267.35957275052874,6.881200695570232e-20,1055.1297113286598,1,0,0,0,17
299,C=CC(=O)N1CCOc2ncccc2C1,629.4138019541017,381.5042721389061,7.194232935368914e-20,1193.2292697468306,1,1,0,1,23
300,C=CC(=O)Nc1cc(N)ccc1F,753.2990356197017,340.8486646982131,7.483844385253245e-20,1268.5538804839584,1,1,0,1,21
301,C=C(C)C(=O)OCCCCCCCCCCOc1ccc(N=Nc2ccc(C#N)cc2)cc1,464.9648233903283,318.0361255638862,6.405810478180471e-19,1065.3261204359687,0,0,1,0,49
302,C=C(C)C(=O)Nc1ccc(-n2cnc(Cl)c2Cl)nc1,650.371924079878,363.6925377943443,1.7130804094345772e-19,1370.2342901518682,1,1,1,1,36
303,C=CC(=O)NC(c1ccc(Br)cc1)c1nccn1C,548.900128187119,380.8520283443305,1.3265880416263356e-19,1398.8396986486412,0,1,1,1,32
304,C=CC(=O)N(CCC(C)C)C1CC1,397.6976885367248,247.23613608386648,8.318090014533982e-20,927.263458633704,0,0,0,0,23
305,C=C(C)C(=O)N1CCC(c2nc(C)ncc2C(=O)NCc2cccc(C(=O)OC)c2)CC1,481.0875933686349,402.1675837751537,2.1990371399270733e-19,1145.371397153063,0,1,1,1,56
306,C#CCN(C(=O)C=C)C1CCS(=O)(=O)C1,580.6952281843865,345.5591932022804,8.367290249126815e-20,1237.5795354116178,1,1,0,1,30
307,C=C(C)C(=O)Nc1ccc(CN(C)C)cc1,546.6752631756393,316.9177473810836,1.3277480729487958e-19,1058.0972182108108,0,0,1,0,28
308,C=CC(=O)N(C)[C@H]1c2ccccc2N(C(=O)OC(C)(C)C)C[C@@H]1O,439.7602241005392,398.0501331187419,1.463615344772198e-19,1115.034491225773,0,1,1,0,52
309,C=CC(=O)NC(CO)(CO)CO,536.6673437444618,287.5257265749473,5.1951037624748755e-20,1195.028631519378,0,0,0,1,20
310,C=CC(=O)NC[C@@H](C)N(CC)C(=O)OC(C)(C)C,398.6967139319295,334.7264289289115,9.169954368899249e-20,1019.337457215786,0,1,0,0,38
311,C=C(C)C(=O)OC1CC2(C)OC(=CC2=O)C(=C)CC2OC(=O)C(COC)C12,452.20531262292496,387.8342381005054,1.1612365610102586e-19,1180.320473513112,0,1,1,1,53
312,C=CC(=O)OCCO,575.4934251947336,224.7852625685183,5.1152502834814397e-20,1086.6522481909444,1,0,0,0,12
313,C=C(C)C(=O)OCCCCCCCC(C)C,331.9024296743584,231.21789501734432,1.9770558645025128e-19,877.9610477781714,0,0,1,0,24
314,C=CC(=O)NC(N)=O,1325.912207056566,319.7051267089587,4.187060852633357e-20,1305.057503513617,1,1,0,1,15
315,C=CC(=O)NCCCN1CCC(N2CCCCC2)CC1,473.1750380198131,341.7697608943347,2.127693304057437e-19,1025.6394907539031,0,1,1,0,30
316,C#CC(CC)NC(=O)C=C,503.7267303774185,272.8492652864089,5.724847053861432e-20,995.6658337891432,0,0,0,0,17
317,C=CC(=O)N1CCn2cc(C(=O)NCCc3cccc(C(=O)OC)c3)nc2C1c1ccccc1,489.0805096901777,338.1021360008541,2.7607711685134786e-19,1173.9297478569626,0,1,1,1,56
318,C=CC(=O)N1CCOC(c2ccc(Cl)cc2)C1,528.3632150728771,347.87523533476724,1.3723414158073837e-19,1213.1962335120393,0,1,1,1,30
319,C#CC(C)(CC)NC(=O)C=C,402.8926402845848,255.0907914998617,5.555847812188766e-20,960.6335122348472,0,0,0,0,20
320,C=CC(=O)N(CCCC)C1CCS(=O)(=O)C1,499.8597007496341,327.8050659817515,9.744890679350415e-20,1151.010502405429,0,1,1,1,30
321,C=CC(=O)NCc1ccccc1COCC,533.6404121980954,310.7974863685164,1.0255752431869132e-19,951.3400386500776,0,0,1,0,22
322,C=CC(=O)N1c2c(OCC)cccc2-c2c(ssc2=S)C1(C)C,429.7431398824232,374.55843278149024,1.1525472573850971e-19,1284.984284081621,0,1,1,1,41
323,C=CC(=O)NCOCC(C)C,504.8131507701837,276.51432362089247,8.24735637418972e-20,999.3284466910624,0,0,0,0,17
324,C=C(C)C(=O)N1CC(C)OC(C)C1,572.7983469495316,300.2025456499396,6.774941370971336e-20,1031.357842608605,1,0,0,0,25
325,C=C(C)C(=O)N(CCN(C)C)C1CCS(=O)(=O)C1,520.0098839141223,349.7952174436078,1.0781159559661666e-19,1133.9778450968397,0,1,1,1,36
326,C=CC(=O)NC[C@H](C)O,843.7898300034803,290.45655127579414,5.1161056487831503e-20,1075.7556969177992,1,0,0,0,19
327,C=C(C)C(=O)ONC(=O)OC(C)(C)C,556.8607217439044,334.3586469148922,1.0362427061136864e-19,1101.2567358813076,1,1,1,0,27
328,C=CNC(=O)C=C,705.1525753690245,265.6004073307114,4.086693529220579e-20,1019.7954938043292,1,0,0,0,12
329,C=CC(=O)NCC(C)(C)c1cccs1,518.6704519438088,278.6016985349079,9.137639876702745e-20,1120.587896587022,0,0,0,0,24
330,C=CC(=O)N1CCN(C)CC1,575.4457635169705,288.6722420709662,6.068712769733555e-20,1059.7221935722246,1,0,0,0,19
331,C=CC(=O)NCCC(O)(c1nccn1C)C(F)(F)F,613.3807907115581,352.4392020882224,1.046376642163892e-19,1217.2774621282515,1,1,1,1,33
332,C=C(C)C(=O)OCCN(C)C,444.5816396746621,227.2777526165795,8.363103384578252e-20,968.7793178316252,0,0,0,0,19
333,C=CC(=O)Nc1ccc2[nH]c(=O)n(C3CCN(Cc4ccc(-c5nc6cc[nH]c(=O)c6cc5-c5ccccc5)cc4)CC3)c2c1,585.5831316229146,310.3156193609867,3.8323117558079417e-19,1186.2814032171143,1,0,1,1,83
334,C=C(C)C(=O)NCc1cccc(NC(=O)c2cccnc2)c1,620.7883505646041,380.1961360258333,1.8158239269017662e-19,1180.8547766967204,1,1,1,1,37
335,C=C(C)C(=O)N(C=O)CCCN,666.8846250432038,315.44682183475953,7.081117062690412e-20,1094.301228158255,1,0,0,0,21
336,C=CC(=O)NCCCNC(=O)c1cccc(OC(C)=O)c1,678.4304530929729,366.78991207651296,2.1360370606739076e-19,1182.465673936788,1,1,1,1,35
337,C=CC(=O)Nc1ncc(C)s1,751.8770249632054,319.7426043286505,6.974643771053007e-20,1236.7766080288957,1,1,0,1,19
338,C=CCCCN(C)C(=O)C=C,450.98123268896046,253.32852587899924,7.499605189282608e-20,930.0306696037056,0,0,0,0,18
339,C=CC1(OC(=O)C(=C)C)CCCC1,378.65357262420594,233.2665772605033,6.517528995119075e-20,979.0832114471492,0,0,0,0,24
340,C=CC(=O)Nc1ccc(C#N)c(F)c1,652.3226377694073,320.6790106659432,9.62419315155133e-20,1224.2669290801446,1,1,0,1,25
341,C=CC(=O)N1CCN(Cc2ccc(OCC)c(OC)c2)CC1,521.461126960183,363.0034647315729,1.8431518307205145e-19,1103.8963920073627,0,1,1,0,36
342,C=CC(=O)Nc1ccc2oc(CCC)nc2c1,603.2691354495546,336.50574434160126,1.382277790290318e-19,1157.1436300576831,1,1,1,1,27
343,C=CC(=O)OC(C)(C)C(=O)O,670.9701339868083,321.5767783064771,5.3490061485572724e-20,1156.350926472125,1,1,0,1,22
344,C=CC(=O)NCCCCCCCCC=CCCCCCCCC,345.3617454369013,252.62479101013705,4.104689338858276e-19,747.7613757193492,0,0,1,0,28
345,C=CC(=O)NC1(C(F)(F)F)C(=O)N(CC(C)C)C2=C1C(=O)CC(C)(C)C2,410.685616676255,382.96820760506887,1.1221455849002862e-19,1200.5171386943784,0,1,1,1,55
346,C=CC(=O)Nc1nc(C)c(C)s1,706.0609238042564,331.6765492432652,7.759989988271032e-20,1191.212993580286,1,1,0,1,22
