,SMILES,E_coh (MPa),T_g (K),R_gyr (A^2),Densities (kg/m^3),E_coh_bin,T_g_bin,R_gyr_bin,Densities_bin,smiles_lenght
37,C=CC(=O)NCC(C)(C)O,650.6247425100416,300.5313433476367,5.683235258616891e-20,1044.6830098901826,1,0,0,0,18
38,C=CC(=O)Nc1ccccc1C(C)=O,578.291436220725,293.5258271359724,7.37270914486738e-20,1144.5066048949304,1,0,0,1,23
39,C=CC(=O)Nc1cc(N2CCN(CC)CC2)ccc1Nc1cc(N(C)C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1,561.1906620177622,335.1356641733789,3.3948131998575653e-19,1259.320140220717,1,1,1,1,74
40,C=CC(=O)O,716.4060158826178,227.21197062379616,2.271446738656281e-20,1060.924869171192,1,0,0,0,9
41,C=C(C)C(=O)NCCCc1ccccc1,471.719149951132,286.9289174413277,1.2185242519343497e-19,1035.0454955396187,0,0,1,0,23
42,C=CC(=O)Nc1ccnn(C(C)(C)C)c1=O,570.9281238989064,360.35397635997015,9.385542479114172e-20,1149.0996723905007,1,1,0,1,29
43,CC(O)CCO,648.1923065649346,248.8417946503136,3.353616019142079e-20,970.0484773051412,1,0,0,0,8
44,C=CC(=O)NCC1CCC(CC)CC1,288.94808461359764,275.68598487986344,1.0893702441787709e-19,964.1264221241644,0,0,1,0,22
45,C=CC(=O)N1CCCCC1CCC(=O)O,561.9507265133603,324.8559303331582,7.856991779221089e-20,1010.4675436981794,1,1,0,0,24
46,C=CC(=O)N1CCC(CC(=O)O)CC1,672.2612876469814,345.1454740612819,9.567736351120864e-20,1041.904738785286,1,1,0,0,25
47,C=CC(=O)Nc1cc2c(cc1C(=O)CC)OCCO2,546.405676562533,324.5896916996812,1.0970119099996904e-19,1206.4705725909182,0,1,1,1,32
48,C=C(C)C(=O)N1CCc2nn(CCOC)c(=O)n2CC1,557.1744044808753,384.5003635521931,1.455790451249151e-19,1157.419338533574,1,1,1,1,35
49,C=CC(=O)Nc1cccnc1N1CCCC1,547.5711326158439,333.3949724036794,8.181751889040471e-20,1024.4149235463503,0,1,0,0,24
50,C=CC(=O)NCCF,621.4474457247186,240.68622873082225,4.7911499663773446e-20,1123.0214614934416,1,0,0,0,12
51,C=CC(=O)Nc1ccccc1C(=O)N(C)C,557.8468322203777,341.8199122134356,8.195632404529556e-20,1133.694666479562,1,1,0,1,27
52,C=CC(=O)NC(=O)NC(C)C,884.7143146428949,315.7250423707866,7.399411403221813e-20,1109.8013128334303,1,0,0,0,20
53,C=C(C)C(=O)NCCCNC(=O)c1ccc(C(=O)c2ccccc2)cc1,587.3130197059193,369.4284414784101,3.010686134159007e-19,1149.625766798284,1,1,1,1,44
54,C=CC(=O)NC1CONC1=O,965.6341667242164,392.5300970018702,5.705303221400705e-20,1235.8871797335378,1,1,0,1,18
