,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Composition_Formula,Equilibrium_Pressure_25C,formula_eqPressure_25C,Heat_of_Formation_kJperMolH2,binary,bin,3bin_limit,LnEquilibrium_Pressure_25C,binary_Heat,binary_pressure,element
112,112,112,112,Zr1Mn3.8,0.6251355191411884,Zr1Mn3.8 (Equilibrium Pressure at 25C: 0.6251355191411884),-17.0,1.0,0,0,-0.46978682212419676,1,1,"['Zr', 'Mn']"
113,113,113,113,Zr1Mn1Fe0.7Co0.3,3.557970503429936,Zr1Mn1Fe0.7Co0.3 (Equilibrium Pressure at 25C: 3.557970503429936),-17.6,1.0,0,0,1.269190298998469,1,1,"['Zr', 'Mn', 'Fe', 'Co']"
114,114,114,114,ErFe2,2.6312347942997414e-05,ErFe2 (Equilibrium Pressure at 25C: 2.6312347942997414e-05),-57.9,0.0,2,2,-10.545472225426831,0,0,"['Er', 'Fe']"
115,115,115,115,GdCo2,0.0015511834166558,GdCo2 (Equilibrium Pressure at 25C: 0.0015511834166558),-48.0,0.0,2,2,-6.468737144748084,0,0,"['Gd', 'Co']"
116,116,116,116,GdRh2,0.0228427848457927,GdRh2 (Equilibrium Pressure at 25C: 0.0228427848457927),-49.0,0.0,2,2,-3.7791199731772287,0,0,"['Gd', 'Rh']"
117,117,117,117,GdRu2,0.0001806068381686,GdRu2 (Equilibrium Pressure at 25C: 0.0001806068381686),-60.0,0.0,2,2,-8.619188054084686,0,0,"['Gd', 'Ru']"
118,118,118,118,Ho0.6Zr0.4Co2,0.0714082632290278,Ho0.6Zr0.4Co2 (Equilibrium Pressure at 25C: 0.0714082632290278),-33.0,0.0,1,1,-2.639341684833983,1,0,"['Ho', 'Zr', 'Co']"
119,119,119,119,Ho0.8Zr0.2Co2,0.0916601060379486,Ho0.8Zr0.2Co2 (Equilibrium Pressure at 25C: 0.0916601060379486),-25.0,0.0,1,1,-2.389668043040072,1,0,"['Ho', 'Zr', 'Co']"
120,120,120,120,LaRh2,0.001033502871643,LaRh2 (Equilibrium Pressure at 25C: 0.001033502871643),-44.3,0.0,2,2,-6.874801400285111,0,0,"['La', 'Rh']"
121,121,121,121,LiPd2,8.260359420329732e-06,LiPd2 (Equilibrium Pressure at 25C: 8.260359420329732e-06),-51.0,0.0,2,2,-11.704042458020956,0,0,"['Li', 'Pd']"
122,122,122,122,YMgNi4,2.002733907859158,YMgNi4 (Equilibrium Pressure at 25C: 2.002733907859158),-35.8,1.0,1,1,0.6945132010585429,0,1,"['Y', 'Mg', 'Ni']"
123,123,123,123,PrCo2,4.372165653240304e-06,PrCo2 (Equilibrium Pressure at 25C: 4.372165653240304e-06),-67.0,0.0,2,2,-12.340252098788564,0,0,"['Pr', 'Co']"
124,124,124,124,Zr0.02Ti0.98Mn1.5V0.43Cr0.05Fe0.09,10.867245898402093,Zr0.02Ti0.98Mn1.5V0.43Cr0.05Fe0.09 (Equilibrium Pressure at 25C: 10.867245898402093),-27.4,1.0,1,1,2.3857533018179042,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Cr', 'Fe']"
125,125,125,125,Zr0.15Ti0.9Mn1.6V0.2Cr0.2,7.000000000000003,Zr0.15Ti0.9Mn1.6V0.2Cr0.2 (Equilibrium Pressure at 25C: 7.000000000000003),-15.4,1.0,0,0,1.9459101490553137,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Cr']"
126,126,126,126,Zr0.2Ti0.9Mn1.4V0.2Cr0.4Fe0.2,3.0000000000000004,Zr0.2Ti0.9Mn1.4V0.2Cr0.4Fe0.2 (Equilibrium Pressure at 25C: 3.0000000000000004),-25.5,1.0,1,1,1.0986122886681098,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Cr', 'Fe']"
127,127,127,127,Zr0.2Ti0.9Mn1.4V0.2Cr0.4,1.8999999999999984,Zr0.2Ti0.9Mn1.4V0.2Cr0.4 (Equilibrium Pressure at 25C: 1.8999999999999984),-26.7,1.0,1,1,0.6418538861723939,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Cr']"
128,128,128,128,Zr0.2Ti0.9Mn1.6V0.2Cr0.2Fe0.2,6.9999999999999964,Zr0.2Ti0.9Mn1.6V0.2Cr0.2Fe0.2 (Equilibrium Pressure at 25C: 6.9999999999999964),-30.0,1.0,1,1,1.9459101490553128,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Cr', 'Fe']"
129,129,129,129,Zr0.2Ti0.9Mn1.6V0.2Fe0.2Ni0.2,3.6000000000000028,Zr0.2Ti0.9Mn1.6V0.2Fe0.2Ni0.2 (Equilibrium Pressure at 25C: 3.6000000000000028),-23.2,1.0,1,1,1.2809338454620651,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Fe', 'Ni']"
130,130,130,130,Zr0.2Ti0.9Mn1.6V0.2Ni0.2,2.700000000000002,Zr0.2Ti0.9Mn1.6V0.2Ni0.2 (Equilibrium Pressure at 25C: 2.700000000000002),-31.7,1.0,1,1,0.9932517730102841,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Ni']"
131,131,131,131,Zr0.2Ti0.9Mn1.8V0.2Fe0.2,3.0000000000000004,Zr0.2Ti0.9Mn1.8V0.2Fe0.2 (Equilibrium Pressure at 25C: 3.0000000000000004),-29.1,1.0,1,1,1.0986122886681098,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Fe']"
132,132,132,132,Zr0.2Ti0.9Mn1.8V0.2,3.0000000000000004,Zr0.2Ti0.9Mn1.8V0.2 (Equilibrium Pressure at 25C: 3.0000000000000004),-26.0,1.0,1,1,1.0986122886681098,1,1,"['Zr', 'Ti', 'Mn', 'V']"
133,133,133,133,Zr0.3Ti0.9Mn1.3V0.2Cr0.2Cu0.05Mo0.05,0.0666150041717367,Zr0.3Ti0.9Mn1.3V0.2Cr0.2Cu0.05Mo0.05 (Equilibrium Pressure at 25C: 0.0666150041717367),-15.2,0.0,0,0,-2.708825438945379,1,0,"['Zr', 'Ti', 'Mn', 'V', 'Cr', 'Cu', 'Mo']"
134,134,134,134,Zr0.1Ti0.9Mn1V0.1Cr0.9,20.663046935398054,Zr0.1Ti0.9Mn1V0.1Cr0.9 (Equilibrium Pressure at 25C: 20.663046935398054),-22.5,1.0,1,1,3.0283469327495385,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Cr']"
135,135,135,135,Ti1.2Mn0.1Cr1.9,57.03937805113844,Ti1.2Mn0.1Cr1.9 (Equilibrium Pressure at 25C: 57.03937805113844),-20.1,1.0,1,1,4.0437418723148,1,1,"['Ti', 'Mn', 'Cr']"
136,136,136,136,Ti1.2Mn1Cr1,22.39130848118285,Ti1.2Mn1Cr1 (Equilibrium Pressure at 25C: 22.39130848118285),-25.5,1.0,1,1,3.108672869331085,1,1,"['Ti', 'Mn', 'Cr']"
137,137,137,137,Ti1Cr1.8,130.8676826935899,Ti1Cr1.8 (Equilibrium Pressure at 25C: 130.8676826935899),-19.7,1.0,0,0,4.874186756976944,1,1,"['Ti', 'Cr']"
138,138,138,138,TiCr2,56.45335214351638,TiCr2 (Equilibrium Pressure at 25C: 56.45335214351638),-29.7,1.0,1,1,4.033414671357247,1,1,"['Ti', 'Cr']"
139,139,139,139,TiMnCr,43.66298285551212,TiMnCr (Equilibrium Pressure at 25C: 43.66298285551212),-24.0,1.0,1,1,3.776500668886852,1,1,"['Ti', 'Mn', 'Cr']"
140,140,140,140,Ti1Mn0.85V0.15Cr1Fe0.3,6.927951884951252,Ti1Mn0.85V0.15Cr1Fe0.3 (Equilibrium Pressure at 25C: 6.927951884951252),-20.9,1.0,1,1,1.9355642262232073,1,1,"['Ti', 'Mn', 'V', 'Cr', 'Fe']"
141,141,141,141,Ti1Mn1.3Fe0.11,6.27236149268651,Ti1Mn1.3Fe0.11 (Equilibrium Pressure at 25C: 6.27236149268651),-32.7,1.0,1,1,1.8361529173385123,1,1,"['Ti', 'Mn', 'Fe']"
142,142,142,142,Ti1Mn1.4Ni0.1,5.623556221337437,Ti1Mn1.4Ni0.1 (Equilibrium Pressure at 25C: 5.623556221337437),-28.0,1.0,1,1,1.726964243382416,1,1,"['Ti', 'Mn', 'Ni']"
143,143,143,143,Ti1Mn1.5,5.042548070797965,Ti1Mn1.5 (Equilibrium Pressure at 25C: 5.042548070797965),-27.9,1.0,1,1,1.6179115239287947,1,1,"['Ti', 'Mn']"
144,144,144,144,TiMn2,49.60116926377468,TiMn2 (Equilibrium Pressure at 25C: 49.60116926377468),-24.6,1.0,1,1,3.9040144073194476,1,1,"['Ti', 'Mn']"
145,145,145,145,Zr0.79Ti0.21Mn1Fe1.02,1.2042957926000797,Zr0.79Ti0.21Mn1Fe1.02 (Equilibrium Pressure at 25C: 1.2042957926000797),-33.0,1.0,1,1,0.18589499163049833,1,1,"['Zr', 'Ti', 'Mn', 'Fe']"
146,146,146,146,Zr0.7Ti0.3Cr0.6Fe1.4,7.432380183843748,Zr0.7Ti0.3Cr0.6Fe1.4 (Equilibrium Pressure at 25C: 7.432380183843748),-22.0,1.0,1,1,2.0058461551875237,1,1,"['Zr', 'Ti', 'Cr', 'Fe']"
147,147,147,147,Zr0.7Ti0.3Cr1Fe1,0.8681310175268138,Zr0.7Ti0.3Cr1Fe1 (Equilibrium Pressure at 25C: 0.8681310175268138),-30.0,1.0,1,1,-0.14141263386119396,1,1,"['Zr', 'Ti', 'Cr', 'Fe']"
148,148,148,148,Zr0.7Ti0.3Mn2Fe0.8,2.600000000000001,Zr0.7Ti0.3Mn2Fe0.8 (Equilibrium Pressure at 25C: 2.600000000000001),-14.0,1.0,0,0,0.9555114450274368,1,1,"['Zr', 'Ti', 'Mn', 'Fe']"
149,149,149,149,Zr0.7Ti0.3Mn1Fe1,2.0552362805549915,Zr0.7Ti0.3Mn1Fe1 (Equilibrium Pressure at 25C: 2.0552362805549915),-10.0,1.0,0,0,0.7203908197109502,1,1,"['Zr', 'Ti', 'Mn', 'Fe']"
150,150,150,150,Zr0.8Ti0.2Cr0.6Fe1.4,3.228992323383511,Zr0.8Ti0.2Cr0.6Fe1.4 (Equilibrium Pressure at 25C: 3.228992323383511),-27.0,1.0,1,1,1.172170114375824,1,1,"['Zr', 'Ti', 'Cr', 'Fe']"
151,151,151,151,Zr0.8Ti0.2Mn1Fe1,1.3104812451316956,Zr0.8Ti0.2Mn1Fe1 (Equilibrium Pressure at 25C: 1.3104812451316956),-30.0,1.0,1,1,0.27039443244785716,1,1,"['Zr', 'Ti', 'Mn', 'Fe']"
152,152,152,152,Zr0.9Ti0.1Cr0.55Fe1.45,2.044512027736068,Zr0.9Ti0.1Cr0.55Fe1.45 (Equilibrium Pressure at 25C: 2.044512027736068),-1.03,1.0,0,0,0.7151591437771645,1,1,"['Zr', 'Ti', 'Cr', 'Fe']"
153,153,153,153,Zr1V0.5Co1.5,0.5142680604510185,Zr1V0.5Co1.5 (Equilibrium Pressure at 25C: 0.5142680604510185),-34.3,1.0,1,1,-0.665010631083228,1,1,"['Zr', 'V', 'Co']"
154,154,154,154,ZrCrCo,0.1996309246572472,ZrCrCo (Equilibrium Pressure at 25C: 0.1996309246572472),-40.2,0.0,2,2,-1.6112849939531337,0,0,"['Zr', 'Cr', 'Co']"
155,155,155,155,ZrVCo,0.0004922219161274,ZrVCo (Equilibrium Pressure at 25C: 0.0004922219161274),-49.4,0.0,2,2,-7.616580894124575,0,0,"['Zr', 'V', 'Co']"
156,156,156,156,Zr1Cr1.2Fe0.8,0.0526872109449353,Zr1Cr1.2Fe0.8 (Equilibrium Pressure at 25C: 0.0526872109449353),-50.2,0.0,2,2,-2.9433825294522356,0,0,"['Zr', 'Cr', 'Fe']"
157,157,157,157,Zr1Cr1.2Ni0.8,0.0126513709361717,Zr1Cr1.2Ni0.8 (Equilibrium Pressure at 25C: 0.0126513709361717),-56.4,0.0,2,2,-4.369989695279764,0,0,"['Zr', 'Cr', 'Ni']"
158,158,158,158,ZrCr2,0.002679724218239,ZrCr2 (Equilibrium Pressure at 25C: 0.002679724218239),-42.0,0.0,2,2,-5.922041393396479,0,0,"['Zr', 'Cr']"
159,159,159,159,Zr1Cr2Co0.8,0.0507994716030839,Zr1Cr2Co0.8 (Equilibrium Pressure at 25C: 0.0507994716030839),-45.3,0.0,2,2,-2.9798693259658933,0,0,"['Zr', 'Cr', 'Co']"
160,160,160,160,ZrMo2,43.29076189491877,ZrMo2 (Equilibrium Pressure at 25C: 43.29076189491877),-22.0,1.0,1,1,3.767939261089238,1,1,"['Zr', 'Mo']"
161,161,161,161,ZrCrMo,0.1999999999999999,ZrCrMo (Equilibrium Pressure at 25C: 0.1999999999999999),-27.6,0.0,1,1,-1.609437912434101,1,0,"['Zr', 'Cr', 'Mo']"
162,162,162,162,CaNi4B,0.0086094488709562,CaNi4B (Equilibrium Pressure at 25C: 0.0086094488709562),-55.7,0.0,2,2,-4.754894972933152,0,0,"['Ca', 'Ni', 'B']"
163,163,163,163,CaNi5,0.5000000000000004,CaNi5 (Equilibrium Pressure at 25C: 0.5000000000000004),-37.7,1.0,1,1,-0.6931471805599444,0,1,"['Ca', 'Ni']"
164,164,164,164,La0.5Ce0.5Cu2.5Ni2.5,2.3416253775191214,La0.5Ce0.5Cu2.5Ni2.5 (Equilibrium Pressure at 25C: 2.3416253775191214),-22.9,1.0,1,1,0.8508452940200717,1,1,"['La', 'Ce', 'Cu', 'Ni']"
165,165,165,165,La0.4Ce0.6Ni5,28.0,La0.4Ce0.6Ni5 (Equilibrium Pressure at 25C: 28.0),-22.3,1.0,1,1,3.332204510175204,1,1,"['La', 'Ce', 'Ni']"
166,166,166,166,La0.2Ce0.8Cu0.3Ni4.7,19.059838026658632,La0.2Ce0.8Cu0.3Ni4.7 (Equilibrium Pressure at 25C: 19.059838026658632),-21.0,1.0,1,1,2.9475834001132752,1,1,"['La', 'Ce', 'Cu', 'Ni']"
167,167,167,167,La0.2Ce0.8Ni5,32.00964433437732,La0.2Ce0.8Ni5 (Equilibrium Pressure at 25C: 32.00964433437732),-23.8,1.0,1,1,3.4660372428415465,1,1,"['La', 'Ce', 'Ni']"
168,168,168,168,Ce0.2Pr0.8Co5,0.3007932386234149,Ce0.2Pr0.8Co5 (Equilibrium Pressure at 25C: 0.3007932386234149),-39.0,0.0,1,1,-1.2013321651397544,0,0,"['Ce', 'Pr', 'Co']"
169,169,169,169,Ce0.4Pr0.6Co5,1.303305200403338,Ce0.4Pr0.6Co5 (Equilibrium Pressure at 25C: 1.303305200403338),-38.5,1.0,1,1,0.2649034997279145,0,1,"['Ce', 'Pr', 'Co']"
170,170,170,170,Ce0.6Pr0.4Co5,1.6421645525082085,Ce0.6Pr0.4Co5 (Equilibrium Pressure at 25C: 1.6421645525082085),-38.5,1.0,1,1,0.49601522069130266,0,1,"['Ce', 'Pr', 'Co']"
171,171,171,171,La0.7Ce0.7Ni5,13.06465552477356,La0.7Ce0.7Ni5 (Equilibrium Pressure at 25C: 13.06465552477356),-25.0,1.0,1,1,2.5699105323619533,1,1,"['La', 'Ce', 'Ni']"
172,172,172,172,Ce0.8Pr0.2Co5,1.8316907652938488,Ce0.8Pr0.2Co5 (Equilibrium Pressure at 25C: 1.8316907652938488),-37.0,1.0,1,1,0.6052394557672682,0,1,"['Ce', 'Pr', 'Co']"
173,173,173,173,CeCo5,1.8963052000171792,CeCo5 (Equilibrium Pressure at 25C: 1.8963052000171792),-39.0,1.0,1,1,0.6399073613516694,0,1,"['Ce', 'Co']"
174,174,174,174,Ce1Mn0.75Ni4.25,1.1765682852439587,Ce1Mn0.75Ni4.25 (Equilibrium Pressure at 25C: 1.1765682852439587),-24.7,1.0,1,1,0.16260196850730585,1,1,"['Ce', 'Mn', 'Ni']"
175,175,175,175,Ce1Al0.5Ni4.5,9.545509532616563,Ce1Al0.5Ni4.5 (Equilibrium Pressure at 25C: 9.545509532616563),-21.6,1.0,1,1,2.2560708379023913,1,1,"['Ce', 'Al', 'Ni']"
176,176,176,176,Ce1Mn0.5Ni4.5,7.501544948777111,Ce1Mn0.5Ni4.5 (Equilibrium Pressure at 25C: 7.501544948777111),-25.4,1.0,1,1,2.0151089924988663,1,1,"['Ce', 'Mn', 'Ni']"
177,177,177,177,CeNi5,84.98778273149166,CeNi5 (Equilibrium Pressure at 25C: 84.98778273149166),-22.2,1.0,1,1,4.442507513589114,1,1,"['Ce', 'Ni']"
178,178,178,178,Dy1Ga0.75Ni4.25,7.380680490472258,Dy1Ga0.75Ni4.25 (Equilibrium Pressure at 25C: 7.380680490472258),-30.1,1.0,1,1,1.9988658417426066,1,1,"['Dy', 'Ga', 'Ni']"
179,179,179,179,Dy1Al0.5Ni4.5,24.13282475943464,Dy1Al0.5Ni4.5 (Equilibrium Pressure at 25C: 24.13282475943464),-27.3,1.0,1,1,3.183572936997422,1,1,"['Dy', 'Al', 'Ni']"
180,180,180,180,DyAlNi4,0.7654801337418554,DyAlNi4 (Equilibrium Pressure at 25C: 0.7654801337418554),-35.4,1.0,1,1,-0.2672520162239592,0,1,"['Dy', 'Al', 'Ni']"
181,181,181,181,Er1Al1.5Ni3.5,0.0604138896551311,Er1Al1.5Ni3.5 (Equilibrium Pressure at 25C: 0.0604138896551311),-39.8,0.0,1,1,-2.806536239300719,0,0,"['Er', 'Al', 'Ni']"
182,182,182,182,Er1Al0.5Ni4.5,63.86015337360045,Er1Al0.5Ni4.5 (Equilibrium Pressure at 25C: 63.86015337360045),-25.4,1.0,1,1,4.156695589000013,1,1,"['Er', 'Al', 'Ni']"
183,183,183,183,ErAlNi4,6.946315496186141,ErAlNi4 (Equilibrium Pressure at 25C: 6.946315496186141),-32.4,1.0,1,1,1.9382113745668057,1,1,"['Er', 'Al', 'Ni']"
184,184,184,184,EuNi5,1.2999999999999994,EuNi5 (Equilibrium Pressure at 25C: 1.2999999999999994),-26.0,1.0,1,1,0.26236426446749056,1,1,"['Eu', 'Ni']"
185,185,185,185,Gd1Al0.5Ni4.5,8.76622359342541,Gd1Al0.5Ni4.5 (Equilibrium Pressure at 25C: 8.76622359342541),-32.7,1.0,1,1,2.1709061085644787,1,1,"['Gd', 'Al', 'Ni']"
186,186,186,186,GdAlNi4,0.2660974772349265,GdAlNi4 (Equilibrium Pressure at 25C: 0.2660974772349265),-41.5,0.0,2,2,-1.3238925815585543,0,0,"['Gd', 'Al', 'Ni']"
187,187,187,187,Ho1Al0.5Ni4.5,53.56326979436215,Ho1Al0.5Ni4.5 (Equilibrium Pressure at 25C: 53.56326979436215),-24.1,1.0,1,1,3.980863568144799,1,1,"['Ho', 'Al', 'Ni']"
188,188,188,188,HoAlNi4,0.8735436685088609,HoAlNi4 (Equilibrium Pressure at 25C: 0.8735436685088609),-35.9,1.0,1,1,-0.13519715808879648,0,1,"['Ho', 'Al', 'Ni']"
189,189,189,189,LaFeCuNi3,0.3843782982703401,LaFeCuNi3 (Equilibrium Pressure at 25C: 0.3843782982703401),-37.2,0.0,1,1,-0.9561280595922447,0,0,"['La', 'Fe', 'Cu', 'Ni']"
190,190,190,190,La1Al0.75Ni4.25,0.023030464176958,La1Al0.75Ni4.25 (Equilibrium Pressure at 25C: 0.023030464176958),-44.1,0.0,2,2,-3.7709374100353337,0,0,"['La', 'Al', 'Ni']"
191,191,191,191,La1Co0.5Ni4.25Sn0.25,0.4999999999999995,La1Co0.5Ni4.25Sn0.25 (Equilibrium Pressure at 25C: 0.4999999999999995),-42.5,1.0,2,2,-0.6931471805599463,0,1,"['La', 'Co', 'Ni', 'Sn']"
192,192,192,192,La1Ni4.4B0.6,0.3000000000000001,La1Ni4.4B0.6 (Equilibrium Pressure at 25C: 0.3000000000000001),-33.5,0.0,1,1,-1.2039728043259357,1,0,"['La', 'Ni', 'B']"
193,193,193,193,La1Zn0.6Ni4.4,0.3811632328179493,La1Zn0.6Ni4.4 (Equilibrium Pressure at 25C: 0.3811632328179493),-34.8,0.0,1,1,-0.9645275630134316,1,0,"['La', 'Zn', 'Ni']"
194,194,194,194,La1Al0.5Ni4.5,0.2999999999999997,La1Al0.5Ni4.5 (Equilibrium Pressure at 25C: 0.2999999999999997),-44.4,0.0,2,2,-1.203972804325937,0,0,"['La', 'Al', 'Ni']"
195,195,195,195,La1Mn0.3Al0.3Ni4.5,0.1195610368932282,La1Mn0.3Al0.3Ni4.5 (Equilibrium Pressure at 25C: 0.1195610368932282),-39.3,0.0,1,1,-2.123928269027658,0,0,"['La', 'Mn', 'Al', 'Ni']"
196,196,196,196,La1Si0.5Ni4.5,0.5000000000000004,La1Si0.5Ni4.5 (Equilibrium Pressure at 25C: 0.5000000000000004),-36.5,1.0,1,1,-0.6931471805599444,0,1,"['La', 'Si', 'Ni']"
197,197,197,197,La1Mn0.2Al0.15Ni4.65,0.7835989436988505,La1Mn0.2Al0.15Ni4.65 (Equilibrium Pressure at 25C: 0.7835989436988505),-38.8,1.0,1,1,-0.2438579409233152,0,1,"['La', 'Mn', 'Al', 'Ni']"
198,198,198,198,La1Al0.4Ni4.6,0.2235925932600667,La1Al0.4Ni4.6 (Equilibrium Pressure at 25C: 0.2235925932600667),-36.4,0.0,1,1,-1.4979296632048154,0,0,"['La', 'Al', 'Ni']"
199,199,199,199,La1Mn0.1Cu0.3Ni4.6,0.6577545473633537,La1Mn0.1Cu0.3Ni4.6 (Equilibrium Pressure at 25C: 0.6577545473633537),-32.0,1.0,1,1,-0.4189234455723626,1,1,"['La', 'Mn', 'Cu', 'Ni']"
200,200,200,200,La1Ga0.4Ni4.6,0.3816881210296787,La1Ga0.4Ni4.6 (Equilibrium Pressure at 25C: 0.3816881210296787),-35.0,0.0,1,1,-0.9631514409369241,0,0,"['La', 'Ga', 'Ni']"
201,201,201,201,La1Ni4.6Ge0.4,0.6208404169325338,La1Ni4.6Ge0.4 (Equilibrium Pressure at 25C: 0.6208404169325338),-34.3,1.0,1,1,-0.47668120763740823,1,1,"['La', 'Ni', 'Ge']"
202,202,202,202,La1In0.4Ni4.6,0.0657507645188483,La1In0.4Ni4.6 (Equilibrium Pressure at 25C: 0.0657507645188483),-39.8,0.0,1,1,-2.721883980328772,0,0,"['La', 'In', 'Ni']"
203,203,203,203,La1Mn0.4Ni4.6,0.1499999999999999,La1Mn0.4Ni4.6 (Equilibrium Pressure at 25C: 0.1499999999999999),-39.4,0.0,1,1,-1.897119984885882,0,0,"['La', 'Mn', 'Ni']"
204,204,204,204,La1Si0.4Ni4.6,0.5286931105252956,La1Si0.4Ni4.6 (Equilibrium Pressure at 25C: 0.5286931105252956),-35.6,1.0,1,1,-0.6373471467972733,0,1,"['La', 'Si', 'Ni']"
205,205,205,205,La1Ni4.6Sn0.4,0.104264416032267,La1Ni4.6Sn0.4 (Equilibrium Pressure at 25C: 0.104264416032267),-38.5,0.0,1,1,-2.2608251445803416,0,0,"['La', 'Ni', 'Sn']"
206,206,206,206,La1Al0.25Ni4.75,0.7719332496925363,La1Al0.25Ni4.75 (Equilibrium Pressure at 25C: 0.7719332496925363),-33.7,1.0,1,1,-0.25885719682443814,1,1,"['La', 'Al', 'Ni']"
207,207,207,207,La1Al0.3Ni4.7,0.4199999999999999,La1Al0.3Ni4.7 (Equilibrium Pressure at 25C: 0.4199999999999999),-34.0,0.0,1,1,-0.8675005677047234,1,0,"['La', 'Al', 'Ni']"
208,208,208,208,La1Mn0.3Ni4.7,1.1545579924276814,La1Mn0.3Ni4.7 (Equilibrium Pressure at 25C: 1.1545579924276814),-36.2,1.0,1,1,0.14371758019024136,0,1,"['La', 'Mn', 'Ni']"
209,209,209,209,La1Si0.3Ni4.7,1.0,La1Si0.3Ni4.7 (Equilibrium Pressure at 25C: 1.0),-33.8,1.0,1,1,0.0,1,1,"['La', 'Si', 'Ni']"
210,210,210,210,La1In0.15Ni4.85,0.6312539077578454,La1In0.15Ni4.85 (Equilibrium Pressure at 25C: 0.6312539077578454),-31.8,1.0,1,1,-0.46004710790425074,1,1,"['La', 'In', 'Ni']"
211,211,211,211,La1Ni4.8Sn0.2,0.47,La1Ni4.8Sn0.2 (Equilibrium Pressure at 25C: 0.47),-32.8,0.0,1,1,-0.7550225842780328,1,0,"['La', 'Ni', 'Sn']"
212,212,212,212,La1In0.07Ni4.93,1.083940070093133,La1In0.07Ni4.93 (Equilibrium Pressure at 25C: 1.083940070093133),-35.2,1.0,1,1,0.08060261559718947,0,1,"['La', 'In', 'Ni']"
213,213,213,213,La1Ni4.95Sn0.05,1.0454338668516792,La1Ni4.95Sn0.05 (Equilibrium Pressure at 25C: 1.0454338668516792),-32.0,1.0,1,1,0.044431982842039836,1,1,"['La', 'Ni', 'Sn']"
214,214,214,214,La1Al0.1Ni4.9,0.97379964952477,La1Al0.1Ni4.9 (Equilibrium Pressure at 25C: 0.97379964952477),-33.0,1.0,1,1,-0.02654969513833527,1,1,"['La', 'Al', 'Ni']"
215,215,215,215,La1Mn0.1Ni4.9,1.026151847754291,La1Mn0.1Ni4.9 (Equilibrium Pressure at 25C: 1.026151847754291),-29.0,1.0,1,1,0.025815735558211275,1,1,"['La', 'Mn', 'Ni']"
216,216,216,216,La1Ni4.9Sn0.1,1.381284549463043,La1Ni4.9Sn0.1 (Equilibrium Pressure at 25C: 1.381284549463043),-32.0,1.0,1,1,0.3230138991570149,1,1,"['La', 'Ni', 'Sn']"
217,217,217,217,La1Al0.5Cu0.5Ni4,0.106040949075376,La1Al0.5Cu0.5Ni4 (Equilibrium Pressure at 25C: 0.106040949075376),-40.0,0.0,1,1,-2.243929947437502,0,0,"['La', 'Al', 'Cu', 'Ni']"
218,218,218,218,LaCrNi4,0.0399999999999999,LaCrNi4 (Equilibrium Pressure at 25C: 0.0399999999999999),-34.0,0.0,1,1,-3.2188758248682032,1,0,"['La', 'Cr', 'Ni']"
219,219,219,219,LaCuNi4,0.9508163007857522,LaCuNi4 (Equilibrium Pressure at 25C: 0.9508163007857522),-33.9,1.0,1,1,-0.0504343993585076,1,1,"['La', 'Cu', 'Ni']"
220,220,220,220,LaFeNi4,0.0564762248597669,LaFeNi4 (Equilibrium Pressure at 25C: 0.0564762248597669),-34.5,0.0,1,1,-2.87393552833264,1,0,"['La', 'Fe', 'Ni']"
221,221,221,221,La1Fe0.5Cu0.5Ni4,0.5565796227216516,La1Fe0.5Cu0.5Ni4 (Equilibrium Pressure at 25C: 0.5565796227216516),-36.1,1.0,1,1,-0.5859450408342316,0,1,"['La', 'Fe', 'Cu', 'Ni']"
222,222,222,222,La0.8Ce0.2Co0.5Ni4.25Sn0.25,0.7999999999999999,La0.8Ce0.2Co0.5Ni4.25Sn0.25 (Equilibrium Pressure at 25C: 0.7999999999999999),-38.2,1.0,1,1,-0.22314355131420985,0,1,"['La', 'Ce', 'Co', 'Ni', 'Sn']"
223,223,223,223,La0.8Ce0.2Ni4.8Sn0.25,1.0999999999999994,La0.8Ce0.2Ni4.8Sn0.25 (Equilibrium Pressure at 25C: 1.0999999999999994),-32.4,1.0,1,1,0.09531017980432434,1,1,"['La', 'Ce', 'Ni', 'Sn']"
224,224,224,224,La0.13Ce0.35Pr0.52Co5,1.033101700090644,La0.13Ce0.35Pr0.52Co5 (Equilibrium Pressure at 25C: 1.033101700090644),-40.0,1.0,1,1,0.032565636492510666,0,1,"['La', 'Ce', 'Pr', 'Co']"
225,225,225,225,La0.1Ce0.9Co5,1.113771093217642,La0.1Ce0.9Co5 (Equilibrium Pressure at 25C: 1.113771093217642),-41.0,1.0,2,2,0.10775163853949532,0,1,"['La', 'Ce', 'Co']"
226,226,226,226,La0.2Ce0.8Co5,0.974571677007968,La0.2Ce0.8Co5 (Equilibrium Pressure at 25C: 0.974571677007968),-44.0,1.0,2,2,-0.025757210140132516,0,1,"['La', 'Ce', 'Co']"
