,SMILES,Free energy of activation (kcal/mol),E_bin
83,CC(=O)c2nncnn2,11.03537327403211,0
84,c1cc(C(=O)[O-])ccc1c2nnc(I)nn2,15.059588491002156,1
85,CC(=C)c2nnc(Br)nn2,14.269554660213313,0
86,FC(F)c2nnc(c1cc(O)ccc1)nn2,12.234542973000758,0
87,CC(=C)c2nnc(C(C)C)nn2,16.262523244032636,1
88,c1cc(C(F)(F)F)ccc1c2nnc(C#C)nn2,13.326408633026304,0
89,c1ccccc1/C=C/c2nnc(/C=C/c1ccccc1)nn2,17.64555307996512,1
90,c1cc(C(=O)[O-])ccc1c2nnc(c1ccc(N)cc1)nn2,16.755745318071483,1
91,CNc2nnc(c1ccncc1)nn2,20.361412032028166,1
92,c1cc(O)ccc1c2nnc(c1ncncn1)nn2,13.3446063940517,0
93,c1(NC)ccccc1c2nnc(C(C)(C)C)nn2,20.285483443005848,1
94,NC(=O)c2nnc(C(=O)OC)nn2,7.823154703009479,0
95,s1cccc1c2nnc(c1ncccn1)nn2,13.73679951906026,0
96,COC(=C)c2nnc(/C=C/c1ccccc1)nn2,14.4138817299916,1
97,O=N(=O)c2nnc(C)nn2,9.847498736963606,0
98,c1sccc1c2nncnn2,14.369328591032746,1
99,C#Cc2nnc(N)nn2,20.93934782096014,1
100,c1cc(C(=O)N)ccc1c2nnc(c1cscc1)nn2,14.541266057026682,1
101,c1cc(C(=O)N)ccc1c2nnc(Br)nn2,13.823395760841624,0
102,c1ccccc1/C=C/c2nnc(CC)nn2,16.91136754996393,1
103,CC(=C)c2nnc(C(F)(F)F)nn2,11.67480494505851,0
104,COc2nnc(c1cc(O)ccc1)nn2,16.33907934198203,1
105,c1cnccc1c2nnc(Cl)nn2,12.878367207016067,0
106,o1cccc1c2nnc(CC)nn2,15.685842472990483,1
107,c1cc(C(=O)OC)ccc1c2nnc(c1cncnc1)nn2,13.284993038988189,0
108,c1ccccc1/C=C/c2nnc(c1ccc(O)cc1)nn2,16.655343877968274,1
109,o1cccc1c2nnc(C(=O)OC)nn2,11.825407104963634,0
110,c1cc([O-])ccc1c2nnc(N(C)C)nn2,24.3931573569792,1
111,C=Cc2nnc(c1c(O)cccc1)nn2,15.301179456034252,1
112,o1cccc1c2nnc(C(F)F)nn2,12.68195689001258,0
113,c1cc(N(=O)=O)ccc1c2nnc(c1ccc(O)cc1)nn2,14.804192328004913,1
114,c1cc(C(=O)N)ccc1c2nnc(c1ccc(C(F)(F)F)cc1)nn2,13.561724508002904,0
115,COC(=C)c2nnc(SC)nn2,15.306199528021578,1
116,FC(F)c2nnc(c1ncccc1)nn2,11.04729594500201,0
117,c1ccccc1C#Cc2nnc(c1c(O)cccc1)nn2,14.50236049905357,1
118,c1ccccc1/C=C/c2nnc(C#C)nn2,15.668272220963509,1
119,CN(C)c2nnc(c1ncccc1)nn2,20.318113910994803,1
120,FC(F)c2nnc(c1ccccc1)nn2,12.358162246045348,0
121,O=N(=O)c2nnc(c1cnccc1)nn2,8.231663061905508,0
122,C#Cc2nncnn2,12.88526980599864,0
123,c1occc1c2nnc(c1cncnc1)nn2,14.408861658075612,1
124,c1sccc1c2nnc(c1cscc1)nn2,15.523317642044123,1
125,CSc2nnc(c1ncccn1)nn2,15.21019065097862,1
126,CN(C)c2nnc(c1ccncc1)nn2,21.186586367013646,1
127,O=N(=O)c2nnc(Br)nn2,7.708320555942709,0
128,Nc2nnc(c1ccccc1)nn2,21.205411637037457,1
129,CSc2nnc(Cl)nn2,15.630621680987224,1
130,c1cc(C(=O)OC)ccc1c2nnc(c1ccccc1)nn2,14.386271333989969,1
131,COC(=C)c2nnc(C#Cc1ccccc1)nn2,13.386021988089812,0
132,c1sccc1c2nnc(C(F)F)nn2,12.735922663947669,0
133,c1c(O)cccc1c2nnc(c1ncccc1)nn2,13.104897956014849,0
134,c1cc(C(=O)OC)ccc1c2nnc(c1ncccn1)nn2,12.678191836022084,0
135,c1(NC)ccccc1c2nnc(c1ccc(C(=O)O)cc1)nn2,15.077158742957796,1
136,O=N(=O)c2nnc(C(OC)=C)nn2,7.112814514948088,0
137,CC(=O)Nc2nnc(c1cnccc1)nn2,13.91124702097652,0
138,C=Cc2nnc(c1ccc(O)cc1)nn2,16.361669666067673,1
139,c1cc(C(=O)O)ccc1c2nnc(/C=C/c1ccccc1)nn2,15.719100450049195,1
140,C#Cc2nnc(c1ncccc1)nn2,12.76165053295405,0
141,c1cc(C(=O)N)ccc1c2nnc(N)nn2,21.50222339400148,1
142,c1cc(C(=O)[O-])ccc1c2nnc(C(F)(F)F)nn2,11.635899386942718,0
143,CC(=O)Nc2nnc(c1ccc(N(=O)=O)cc1)nn2,13.61318024601567,0
144,c1cc([O-])ccc1c2nnc(C)nn2,19.94098100201956,1
145,Brc2nnc(F)nn2,12.73404013702376,0
146,c1cc(NC(=O)C)ccc1c2nnc(N(C)C)nn2,21.987915359987998,1
147,O=N(=O)c2nnc(c1cscc1)nn2,9.002244113957484,0
148,c1cc(C(=O)N)ccc1c2nnc(c1ccccc1)nn2,14.203666215022968,0
149,c1ccncc1c2nnc(c1ncccc1)nn2,13.01014409696872,0
150,FC(F)(F)c2nnc(CF)nn2,10.6651429639681,0
151,Nc2nnc(c1cnccc1)nn2,21.62647017597314,1
152,c1(NC)ccccc1c2nnc(c1cscc1)nn2,15.701530198022216,1
153,c1cc(OC)ccc1c2nnc(c1ccc(N(=O)=O)cc1)nn2,14.779091967925606,1
154,c1ccccc1c2nnc(CC)nn2,15.550928037974414,1
155,c1(NC)ccccc1c2nnc(SC)nn2,17.436592582993317,1
156,CC(=O)Nc2nnc(Br)nn2,13.80645301809842,0
157,c1cc(N(=O)=O)ccc1c2nnc(c1ncncc1)nn2,11.606406464017182,0
158,FCc2nnc(F)nn2,12.410245492985188,0
159,c1occc1c2nnc(C)nn2,16.681071746974656,1
160,C#Cc2nnc(c1ncccn1)nn2,12.270310986053133,0
161,c1cc(C(=O)[O-])ccc1c2nnc(c1ncccn1)nn2,12.927940417962246,0
162,COC(=C)c2nnc(I)nn2,13.450027906070892,0
163,c1cc(N)ccc1c2nnc(N(C)C)nn2,22.981889616046672,1
